i	epoch	loss	l2_err	h1_err
0	1	-7.92699e+02	8.63078e-01	8.69959e-01
1	2	-2.30381e+02	6.30701e-01	6.60503e-01
2	3	-5.53103e+02	1.39619e-01	2.95385e-01
3	4	-8.83670e+02	3.61802e-01	4.38109e-01
4	5	-7.93239e+02	6.06209e-01	6.41478e-01
5	6	-5.75973e+02	5.62213e-01	6.03303e-01
6	7	-6.22151e+02	3.16482e-01	4.03344e-01
7	8	-8.17238e+02	3.09783e-01	3.96111e-01
8	9	-9.02066e+02	4.18572e-01	4.78591e-01
9	11	-7.24648e+02	5.64527e-02	2.68680e-01
10	12	-7.43162e+02	3.42520e-01	4.23089e-01
11	14	-9.01472e+02	2.51608e-01	3.55468e-01
12	16	-8.08403e+02	1.04851e-01	2.82432e-01
13	19	-8.99271e+02	8.53100e-02	2.73715e-01
14	22	-8.41097e+02	1.34517e-01	2.93495e-01
15	25	-9.00949e+02	6.70468e-02	2.69202e-01
16	29	-9.08381e+02	6.05728e-02	2.68016e-01
17	34	-9.07748e+02	6.48563e-02	2.70383e-01
18	39	-9.07437e+02	5.70091e-02	2.69515e-01
19	45	-9.01069e+02	5.58230e-02	2.67078e-01
20	51	-9.02632e+02	5.62812e-02	2.68795e-01
21	59	-9.01266e+02	5.60238e-02	2.67946e-01
22	68	-9.02628e+02	5.61947e-02	2.66819e-01
23	79	-9.02028e+02	5.50692e-02	2.66934e-01
24	91	-9.01864e+02	5.52947e-02	2.67044e-01
25	105	-9.06332e+02	5.55013e-02	2.67734e-01
26	121	-9.06292e+02	5.54602e-02	2.68335e-01
27	139	-9.01849e+02	5.54711e-02	2.69142e-01
28	160	-9.02817e+02	5.60546e-02	2.67697e-01
29	184	-9.04547e+02	5.55778e-02	2.68949e-01
30	212	-9.05179e+02	5.60842e-02	2.67549e-01
31	245	-9.07846e+02	5.51564e-02	2.66970e-01
