i	epoch	loss	l2_err	h1_err
0	1	-8.96336e+02	5.60659e-01	5.97840e-01
1	2	-6.19758e+02	7.28034e-01	7.46157e-01
2	3	-4.23714e+02	5.63984e-01	6.01952e-01
3	4	-6.10883e+02	2.52711e-01	3.56342e-01
4	5	-8.46002e+02	1.13774e-01	2.84683e-01
5	6	-8.99649e+02	3.75289e-01	4.47977e-01
6	7	-7.82450e+02	4.99858e-01	5.49885e-01
7	8	-6.82596e+02	3.29052e-01	4.12326e-01
8	10	-8.12533e+02	1.14871e-01	2.82836e-01
9	11	-8.96536e+02	3.56333e-01	4.30947e-01
10	13	-8.46965e+02	1.11273e-01	2.82033e-01
11	15	-7.90257e+02	2.66602e-01	3.68150e-01
12	18	-9.02833e+02	1.40793e-01	2.95403e-01
13	21	-8.46555e+02	6.25921e-02	2.69539e-01
14	24	-9.04508e+02	6.46183e-02	2.67752e-01
15	28	-8.82404e+02	9.63731e-02	2.79258e-01
16	33	-8.95340e+02	5.68180e-02	2.67997e-01
17	38	-8.91488e+02	5.87354e-02	2.67492e-01
18	44	-9.00883e+02	5.51811e-02	2.67795e-01
19	51	-9.14201e+02	5.59488e-02	2.68327e-01
20	59	-9.00698e+02	5.57946e-02	2.68791e-01
21	68	-9.08030e+02	5.55437e-02	2.68364e-01
22	79	-9.13581e+02	5.56385e-02	2.67609e-01
23	91	-9.06244e+02	5.55117e-02	2.66843e-01
24	106	-9.09154e+02	5.48809e-02	2.67984e-01
25	122	-9.08099e+02	5.57970e-02	2.67038e-01
26	142	-9.10375e+02	5.55593e-02	2.66732e-01
27	164	-9.03942e+02	5.55871e-02	2.67556e-01
28	190	-9.08754e+02	5.53324e-02	2.67667e-01
29	220	-9.15683e+02	5.58258e-02	2.67188e-01
30	254	-9.06184e+02	5.63465e-02	2.68149e-01
31	295	-9.06682e+02	5.49480e-02	2.68211e-01
32	341	-9.06480e+02	5.53748e-02	2.65502e-01
33	394	-9.03244e+02	5.56834e-02	2.67832e-01
