iteration	loss
0	0.000000e+00
1	-9.565216e+00
2	-1.782439e+01
3	-2.607656e+01
4	-3.089675e+01
5	-3.969718e+01
6	-4.347006e+01
7	-4.893690e+01
8	-5.150328e+01
9	-5.572572e+01
10	-6.037139e+01
11	-6.019380e+01
12	-6.585966e+01
13	-6.626226e+01
14	-6.979238e+01
15	-7.122846e+01
16	-7.095121e+01
17	-7.316651e+01
18	-7.236774e+01
19	-7.009672e+01
20	-7.115083e+01
21	-7.281257e+01
22	-6.885468e+01
23	-7.442601e+01
24	-7.252610e+01
25	-7.456519e+01
26	-7.227750e+01
27	-7.272913e+01
28	-7.397247e+01
29	-7.359233e+01
30	-7.150122e+01
31	-7.382219e+01
32	-7.123666e+01
33	-7.750197e+01
34	-7.176504e+01
35	-7.664828e+01
36	-7.058338e+01
37	-7.141986e+01
38	-7.423186e+01
39	-7.338963e+01
40	-7.168655e+01
41	-7.412649e+01
42	-7.564536e+01
43	-7.044924e+01
44	-7.355985e+01
45	-7.443363e+01
46	-7.152130e+01
47	-7.403584e+01
48	-7.300297e+01
49	-7.323446e+01
50	-7.500079e+01
51	-7.156878e+01
52	-7.208242e+01
53	-7.438544e+01
54	-7.557703e+01
55	-7.388963e+01
56	-7.361820e+01
57	-7.399958e+01
58	-7.505167e+01
59	-7.631578e+01
60	-7.203445e+01
61	-7.513191e+01
62	-7.022698e+01
63	-7.352682e+01
64	-7.011940e+01
65	-7.043641e+01
66	-7.504600e+01
67	-7.512060e+01
68	-7.492918e+01
69	-7.209804e+01
70	-7.374063e+01
71	-6.973736e+01
72	-7.255000e+01
73	-7.372288e+01
74	-7.681322e+01
75	-7.314958e+01
76	-7.313165e+01
77	-7.410953e+01
78	-7.287753e+01
79	-7.650498e+01
80	-7.226617e+01
81	-7.322983e+01
82	-7.626384e+01
83	-7.598912e+01
84	-7.249943e+01
85	-7.410070e+01
86	-7.295038e+01
87	-7.212176e+01
88	-7.318350e+01
89	-7.271299e+01
90	-7.500757e+01
91	-7.233520e+01
92	-7.335116e+01
93	-7.695286e+01
94	-7.229289e+01
95	-7.469059e+01
96	-7.114155e+01
97	-7.180339e+01
98	-7.033725e+01
99	-7.375861e+01
100	-7.511620e+01
101	-6.755449e+01
102	-7.659004e+01
103	-7.318394e+01
104	-7.204704e+01
105	-7.459309e+01
106	-7.336912e+01
107	-7.637907e+01
108	-7.333779e+01
109	-7.492105e+01
110	-7.343429e+01
111	-7.226363e+01
112	-7.386664e+01
113	-7.345310e+01
114	-7.222817e+01
