i, epoch, loss, l2_err, h1_err
  0     1 -9.71747e+00 9.09248e-01 9.43747e-01
  1     2 -1.86743e+01 8.60037e-01 9.26616e-01
  2     3 -2.57970e+01 8.08538e-01 8.99724e-01
  3     4 -3.15990e+01 7.55625e-01 8.65526e-01
  4     5 -3.78525e+01 7.02360e-01 8.28149e-01
  5     6 -4.56579e+01 6.49314e-01 7.91063e-01
  6     7 -4.84609e+01 5.96949e-01 7.54971e-01
  7     9 -5.61945e+01 4.96034e-01 6.87193e-01
  8    11 -6.34205e+01 4.02155e-01 6.23616e-01
  9    13 -6.96732e+01 3.16427e-01 5.67143e-01
 10    16 -6.75852e+01 2.08233e-01 4.96838e-01
 11    20 -6.85342e+01 1.18041e-01 4.19834e-01
 12    24 -7.37126e+01 1.04329e-01 3.49694e-01
 13    29 -7.14610e+01 1.23017e-01 3.00261e-01
 14    35 -7.53450e+01 1.13963e-01 2.65994e-01
 15    42 -6.79292e+01 7.97109e-02 2.17473e-01
 16    51 -7.37643e+01 3.64134e-02 1.51912e-01
 17    62 -7.22036e+01 2.54047e-02 1.17398e-01
 18    75 -7.12106e+01 2.72040e-02 1.05049e-01
 19    91 -7.29182e+01 1.08078e-02 9.44062e-02
 20   109 -7.50268e+01 1.12318e-02 9.17179e-02
 21   132 -7.84694e+01 1.04596e-02 9.13468e-02
 22   159 -7.41443e+01 1.24155e-02 9.36688e-02
 23   193 -7.08205e+01 1.12387e-02 9.56372e-02
 24   232 -7.14414e+01 1.14985e-02 9.57523e-02
 25   281 -7.43988e+01 1.30404e-02 9.64435e-02
 26   339 -7.72988e+01 1.13965e-02 9.21702e-02
 27   409 -7.37926e+01 1.40551e-02 1.01966e-01
 28   494 -7.15867e+01 1.32010e-02 9.45297e-02
 29   596 -7.22427e+01 1.44427e-02 1.00190e-01
 30   719 -7.32731e+01 1.17141e-02 9.35493e-02
 31   868 -7.70058e+01 1.11969e-02 9.47415e-02
 32  1048 -7.22799e+01 8.46241e-03 8.81810e-02
 33  1264 -7.09602e+01 8.82131e-03 8.58261e-02
 34  1526 -7.21585e+01 7.58363e-03 8.47183e-02
 35  1842 -7.26827e+01 7.68925e-03 8.46465e-02
 36  2222 -7.23280e+01 7.52401e-03 8.44034e-02
 37  2682 -6.96290e+01 7.53423e-03 8.43022e-02
 38  3237 -7.40674e+01 7.48390e-03 8.42595e-02
 39  3906 -7.26348e+01 7.48033e-03 8.42559e-02
 40  4714 -7.58772e+01 7.47550e-03 8.42520e-02
 41  5689 -7.44377e+01 7.47578e-03 8.42512e-02
 42  6866 -7.53127e+01 7.47856e-03 8.42548e-02
 43  8286 -7.55540e+01 7.48055e-03 8.42554e-02
 44 10000 -7.38369e+01 7.48115e-03 8.42543e-02
