i, epoch, loss, l2_err, h1_err
  0     1 -9.38314e+00 9.14387e-01 1.06020e+00
  1     2 -1.77151e+01 8.82292e-01 1.09423e+00
  2     3 -2.59934e+01 8.50754e-01 1.11232e+00
  3     4 -3.12009e+01 8.19105e-01 1.11831e+00
  4     5 -3.78763e+01 7.87036e-01 1.11767e+00
  5     6 -4.15263e+01 7.54226e-01 1.10955e+00
  6     7 -4.55910e+01 7.20491e-01 1.09239e+00
  7     9 -5.51460e+01 6.49800e-01 1.03647e+00
  8    11 -5.97770e+01 5.77151e-01 9.56802e-01
  9    13 -6.38183e+01 5.05927e-01 8.63036e-01
 10    16 -6.87890e+01 4.05846e-01 7.45823e-01
 11    20 -6.76862e+01 2.92055e-01 6.09305e-01
 12    24 -7.32587e+01 2.04009e-01 5.07271e-01
 13    29 -7.43944e+01 1.42329e-01 4.25884e-01
 14    35 -6.93176e+01 1.29329e-01 3.83088e-01
 15    42 -7.10856e+01 1.06996e-01 3.02849e-01
 16    51 -6.85793e+01 5.86354e-02 2.38325e-01
 17    62 -7.43342e+01 4.47578e-02 2.13126e-01
 18    75 -7.24830e+01 2.36489e-02 1.86928e-01
 19    91 -7.07875e+01 1.37411e-02 1.92173e-01
 20   109 -7.15704e+01 1.34485e-02 2.01839e-01
 21   132 -7.28746e+01 1.16535e-02 1.79916e-01
 22   159 -7.03299e+01 1.19108e-02 1.77199e-01
 23   193 -7.40913e+01 1.27926e-02 1.96732e-01
 24   232 -7.51617e+01 1.30175e-02 1.97643e-01
 25   281 -7.41129e+01 1.18799e-02 1.79299e-01
 26   339 -7.54148e+01 1.24033e-02 1.88257e-01
 27   409 -7.13407e+01 8.58267e-03 1.28562e-01
 28   494 -7.75204e+01 9.21395e-03 1.47673e-01
 29   596 -7.22275e+01 9.08964e-03 1.36989e-01
 30   719 -7.45066e+01 8.77750e-03 1.31078e-01
 31   868 -7.49844e+01 6.08596e-03 9.97475e-02
 32  1048 -7.59846e+01 4.78452e-03 7.82887e-02
 33  1264 -6.89700e+01 3.59987e-03 5.88556e-02
 34  1526 -7.05094e+01 2.56101e-03 4.78975e-02
 35  1842 -7.45921e+01 1.56222e-03 3.84774e-02
 36  2222 -7.45689e+01 1.26184e-03 3.59903e-02
 37  2682 -7.39053e+01 1.04532e-03 3.44200e-02
 38  3237 -7.32015e+01 9.85481e-04 3.41667e-02
 39  3906 -7.63133e+01 9.74843e-04 3.41369e-02
 40  4714 -7.33310e+01 9.67666e-04 3.40993e-02
 41  5689 -7.30866e+01 9.61269e-04 3.40602e-02
 42  6866 -7.52365e+01 9.53423e-04 3.40117e-02
 43  8286 -7.33774e+01 9.45514e-04 3.39910e-02
 44 10000 -7.55928e+01 9.39187e-04 3.39609e-02
