n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	162.93	71.63
2	16	16	10000	185.66	76.97
4	36	36	10000	260.89	93.01
6	64	64	10000	354.83	114.56
8	100	100	10000	474.33	141.14
10	144	144	10000	605.81	174.79
12	196	196	10000	773.66	214.60
14	256	256	10000	955.50	265.28
16	324	324	10000	1166.58	313.34
18	400	400	10000	1381.47	371.16
20	484	484	10000	1650.72	435.78
