i, epoch, loss, l2_err, h1_err
  0     1 -9.41660e+00 9.18243e-01 9.96965e-01
  1     2 -1.84489e+01 8.82753e-01 1.00432e+00
  2     3 -2.47025e+01 8.44690e-01 1.00759e+00
  3     4 -3.17227e+01 8.03280e-01 1.00083e+00
  4     5 -3.78696e+01 7.59489e-01 9.80415e-01
  5     6 -4.30177e+01 7.13975e-01 9.49036e-01
  6     7 -4.97549e+01 6.67548e-01 9.11012e-01
  7     9 -5.69035e+01 5.75529e-01 8.30849e-01
  8    11 -6.48041e+01 4.87738e-01 7.54190e-01
  9    13 -6.53882e+01 4.05839e-01 6.80605e-01
 10    16 -7.09725e+01 2.93793e-01 5.72492e-01
 11    20 -7.37812e+01 1.68538e-01 4.38021e-01
 12    24 -7.17110e+01 1.02147e-01 3.57550e-01
 13    29 -7.27051e+01 1.20139e-01 3.48352e-01
 14    35 -7.19060e+01 1.34989e-01 3.06434e-01
 15    42 -7.71180e+01 9.96649e-02 2.38945e-01
 16    51 -7.26910e+01 3.98933e-02 1.78899e-01
 17    62 -7.24054e+01 2.21198e-02 1.34958e-01
 18    75 -7.82756e+01 2.08558e-02 1.29474e-01
 19    91 -7.43463e+01 1.25745e-02 1.16104e-01
 20   109 -7.43138e+01 1.08684e-02 1.09586e-01
 21   132 -6.95210e+01 1.11671e-02 1.02963e-01
 22   159 -7.40138e+01 1.17426e-02 1.19585e-01
 23   193 -7.58752e+01 1.11448e-02 1.11698e-01
 24   232 -7.43231e+01 1.08338e-02 1.14226e-01
 25   281 -7.32965e+01 8.75811e-03 9.50856e-02
 26   339 -7.23977e+01 7.73580e-03 8.46160e-02
 27   409 -7.05527e+01 7.07849e-03 8.02279e-02
 28   494 -7.39145e+01 8.21118e-03 9.32742e-02
 29   596 -7.65523e+01 6.00185e-03 7.13754e-02
 30   719 -7.29948e+01 5.81959e-03 7.28110e-02
 31   868 -7.13213e+01 4.63257e-03 6.36088e-02
 32  1048 -7.10178e+01 3.59196e-03 5.70141e-02
 33  1264 -7.02659e+01 2.84991e-03 5.38023e-02
 34  1526 -7.23413e+01 3.03545e-03 5.43151e-02
 35  1842 -7.49046e+01 2.47747e-03 5.15002e-02
 36  2222 -7.39835e+01 1.97165e-03 4.99933e-02
 37  2682 -7.06985e+01 1.77844e-03 4.92615e-02
 38  3237 -7.32302e+01 1.75378e-03 4.92624e-02
 39  3906 -7.38961e+01 1.74949e-03 4.92559e-02
 40  4714 -7.50376e+01 1.74626e-03 4.92448e-02
 41  5689 -7.65829e+01 1.74124e-03 4.92238e-02
 42  6866 -7.34323e+01 1.73765e-03 4.92094e-02
 43  8286 -7.47237e+01 1.73342e-03 4.92010e-02
 44 10000 -7.21662e+01 1.72996e-03 4.91930e-02
