i	epoch	loss	l2_err	h1_err
0	1	-8.96336e+02	5.72140e-01	6.04361e-01
1	2	-6.07875e+02	7.20762e-01	7.34285e-01
2	3	-4.33376e+02	5.39586e-01	5.72844e-01
3	4	-6.36207e+02	2.22285e-01	3.23506e-01
4	5	-8.59778e+02	1.30867e-01	2.77359e-01
5	6	-8.95974e+02	3.76209e-01	4.40882e-01
6	7	-7.81480e+02	4.87906e-01	5.33734e-01
7	8	-6.92719e+02	3.31690e-01	4.03224e-01
8	9	-7.17853e+02	8.40304e-02	2.46820e-01
9	11	-8.92327e+02	3.31333e-01	3.90063e-01
10	12	-9.08915e+02	1.44943e-01	2.59829e-01
11	14	-8.05099e+02	2.50748e-01	3.29740e-01
12	17	-8.92615e+02	6.19462e-02	2.14683e-01
13	20	-8.70272e+02	8.24315e-02	2.09054e-01
14	23	-8.87609e+02	7.88441e-02	2.02053e-01
15	27	-8.86520e+02	4.01559e-02	1.73727e-01
16	31	-9.06025e+02	6.08276e-02	1.59162e-01
17	36	-8.98854e+02	3.92541e-02	1.32264e-01
18	42	-9.00527e+02	2.74098e-02	1.09544e-01
19	49	-9.09174e+02	1.71318e-02	9.16188e-02
20	57	-9.10115e+02	1.36792e-02	8.22195e-02
21	67	-9.03869e+02	1.26043e-02	7.88288e-02
22	77	-9.09731e+02	1.12644e-02	7.45731e-02
23	90	-9.04977e+02	1.05911e-02	7.13474e-02
24	105	-9.10876e+02	1.05862e-02	6.83892e-02
25	122	-9.11422e+02	9.96557e-03	6.59044e-02
26	142	-9.13851e+02	9.44916e-03	6.27246e-02
27	165	-9.12014e+02	9.06626e-03	6.14287e-02
28	192	-9.11468e+02	8.58699e-03	5.88346e-02
29	223	-9.12556e+02	8.53402e-03	5.70498e-02
30	259	-9.12079e+02	8.12710e-03	5.55173e-02
31	301	-9.09569e+02	7.95303e-03	5.35960e-02
32	350	-9.13181e+02	7.46258e-03	5.06490e-02
33	406	-9.12382e+02	7.16993e-03	4.90063e-02
34	472	-9.17321e+02	7.13586e-03	4.77684e-02
