i	epoch	loss	l2_err	h1_err
0	1	-7.95200e+02	8.47065e-01	8.53376e-01
1	2	-2.42096e+02	6.11120e-01	6.40772e-01
2	3	-5.62103e+02	1.33134e-01	2.85385e-01
3	4	-8.88138e+02	3.42356e-01	4.19350e-01
4	5	-8.00392e+02	5.78366e-01	6.15290e-01
5	6	-6.06197e+02	5.52076e-01	5.92055e-01
6	7	-6.32968e+02	3.39968e-01	4.15878e-01
7	8	-8.02584e+02	2.47731e-01	3.46300e-01
8	10	-8.60176e+02	4.19988e-01	4.74627e-01
9	11	-7.50021e+02	1.09253e-01	2.69553e-01
10	13	-8.17237e+02	3.24185e-01	3.99125e-01
11	15	-8.94161e+02	1.33329e-01	2.73682e-01
12	17	-8.11775e+02	9.37760e-02	2.54061e-01
13	19	-8.79736e+02	1.18394e-01	2.58980e-01
14	22	-8.65167e+02	6.94768e-02	2.32237e-01
15	25	-9.02811e+02	6.37919e-02	2.20435e-01
16	29	-8.87439e+02	4.39222e-02	2.02504e-01
17	33	-8.97341e+02	3.89974e-02	1.81084e-01
18	38	-9.04055e+02	3.49694e-02	1.56131e-01
19	44	-9.03752e+02	2.70269e-02	1.30213e-01
20	50	-9.06015e+02	2.09761e-02	1.05967e-01
21	58	-9.05923e+02	1.56445e-02	8.93603e-02
22	66	-9.06932e+02	1.41734e-02	8.37046e-02
23	76	-9.08704e+02	1.33026e-02	8.13920e-02
24	87	-9.03348e+02	1.22607e-02	7.79515e-02
25	100	-9.12441e+02	1.17018e-02	7.45944e-02
26	114	-9.07302e+02	1.08810e-02	7.04902e-02
27	131	-9.10248e+02	9.81587e-03	6.59865e-02
28	150	-9.07883e+02	9.06110e-03	6.15038e-02
29	172	-9.06781e+02	8.67218e-03	5.84239e-02
30	197	-9.10962e+02	8.08781e-03	5.49407e-02
