i	epoch	loss	l2_err	h1_err
0	1	-6.32455e+02	1.33628e-01	2.94260e-01
1	2	-8.90984e+02	2.53359e-01	3.59484e-01
2	3	-8.49052e+02	4.80537e-01	5.30808e-01
3	4	-6.94914e+02	5.53239e-01	5.89700e-01
4	5	-6.44910e+02	5.09337e-01	5.48497e-01
5	6	-6.69935e+02	3.90832e-01	4.46576e-01
6	7	-7.64628e+02	2.34091e-01	3.28107e-01
7	8	-8.59465e+02	1.10275e-01	2.58251e-01
8	9	-9.08264e+02	3.06681e-01	3.78230e-01
9	11	-8.61633e+02	3.29857e-01	3.94860e-01
10	13	-8.04986e+02	1.25095e-01	2.54703e-01
11	14	-8.12227e+02	1.95387e-01	2.82964e-01
12	17	-8.92445e+02	1.18962e-01	2.33542e-01
13	19	-9.06746e+02	1.37499e-01	2.40315e-01
14	22	-8.81639e+02	4.43437e-02	1.86521e-01
15	25	-8.99047e+02	4.10372e-02	1.71562e-01
16	29	-8.96817e+02	3.25474e-02	1.53549e-01
17	33	-9.04982e+02	3.71309e-02	1.36924e-01
18	38	-9.03009e+02	2.34799e-02	1.13316e-01
19	44	-9.14553e+02	1.87989e-02	9.67513e-02
20	50	-9.14220e+02	1.55704e-02	8.53472e-02
21	57	-9.10553e+02	1.27181e-02	7.86453e-02
22	66	-9.14599e+02	1.10834e-02	7.50044e-02
23	75	-9.06311e+02	1.01664e-02	6.98891e-02
24	86	-9.06813e+02	9.58799e-03	6.59437e-02
25	99	-9.10690e+02	8.76855e-03	6.22016e-02
26	113	-9.12769e+02	8.56266e-03	5.91819e-02
27	130	-9.10232e+02	8.26946e-03	5.66923e-02
28	149	-9.12211e+02	7.73447e-03	5.37182e-02
29	170	-9.08796e+02	7.32857e-03	5.12968e-02
30	195	-9.07828e+02	7.12307e-03	4.93097e-02
