i	epoch	loss	l2_err	h1_err
0	1	-9.05539e+02	6.71906e-01	6.94434e-01
1	2	-4.87992e+02	7.27032e-01	7.42393e-01
2	3	-4.19036e+02	4.59757e-01	5.09028e-01
3	4	-7.06110e+02	9.03747e-02	2.67620e-01
4	5	-8.98264e+02	2.86122e-01	3.77080e-01
5	6	-8.38170e+02	4.94992e-01	5.42798e-01
6	7	-6.88817e+02	5.23055e-01	5.66614e-01
7	8	-6.61848e+02	1.92338e-01	3.10374e-01
8	9	-7.66615e+02	2.58755e-01	3.42007e-01
9	11	-9.05860e+02	3.63102e-01	4.17434e-01
10	12	-8.52953e+02	7.66189e-02	2.42877e-01
11	14	-7.82095e+02	2.12541e-01	3.07684e-01
12	17	-9.07133e+02	1.98062e-01	2.79947e-01
13	20	-8.45484e+02	1.13202e-01	2.33268e-01
14	23	-9.07677e+02	9.11588e-02	2.01055e-01
15	27	-8.92214e+02	9.23144e-02	1.97665e-01
16	31	-8.87222e+02	3.77853e-02	1.53575e-01
17	36	-8.96108e+02	3.09127e-02	1.25473e-01
18	42	-8.99319e+02	2.02743e-02	9.56576e-02
19	49	-9.06120e+02	1.37409e-02	6.95131e-02
20	57	-9.11158e+02	9.80109e-03	5.30940e-02
21	67	-9.03974e+02	7.37953e-03	4.45001e-02
22	77	-9.09886e+02	6.30485e-03	4.07716e-02
23	90	-9.05103e+02	5.87640e-03	3.96536e-02
24	105	-9.10994e+02	5.79820e-03	3.86767e-02
25	122	-9.11521e+02	5.67396e-03	3.77926e-02
26	142	-9.13947e+02	5.36632e-03	3.62808e-02
27	165	-9.12111e+02	5.31984e-03	3.61683e-02
28	192	-9.11553e+02	4.95152e-03	3.48064e-02
29	223	-9.12646e+02	5.01281e-03	3.42219e-02
30	259	-9.12144e+02	4.82920e-03	3.38171e-02
31	301	-9.09648e+02	4.71147e-03	3.32781e-02
32	350	-9.13244e+02	4.54045e-03	3.19961e-02
33	406	-9.12442e+02	4.54219e-03	3.17358e-02
34	472	-9.17369e+02	4.45813e-03	3.11980e-02
