i	epoch	loss	l2_err	h1_err
0	1	-6.89035e+02	5.99523e-02	2.74911e-01
1	2	-9.03195e+02	3.53354e-01	4.31391e-01
2	3	-7.89911e+02	5.46982e-01	5.87433e-01
3	4	-6.27015e+02	5.72269e-01	6.07144e-01
4	5	-6.19813e+02	4.82732e-01	5.28553e-01
5	6	-6.89796e+02	3.25123e-01	4.00566e-01
6	7	-8.05680e+02	1.40919e-01	2.84520e-01
7	8	-8.90934e+02	2.22807e-01	3.28611e-01
8	9	-9.08496e+02	3.74114e-01	4.37782e-01
9	11	-8.12563e+02	3.03582e-01	3.81669e-01
10	13	-7.91247e+02	5.55672e-02	2.42040e-01
11	14	-8.28467e+02	2.34820e-01	3.18824e-01
12	17	-9.02924e+02	5.17690e-02	2.24639e-01
13	19	-8.74280e+02	1.42804e-01	2.51564e-01
14	22	-8.85939e+02	1.14363e-01	2.16874e-01
15	25	-9.09531e+02	8.39944e-02	1.92585e-01
16	29	-8.84152e+02	5.42421e-02	1.54197e-01
17	33	-9.13441e+02	2.97038e-02	1.22475e-01
18	38	-9.02301e+02	2.03366e-02	9.41125e-02
19	44	-9.09211e+02	1.62005e-02	6.98922e-02
20	50	-9.13498e+02	1.03821e-02	5.38487e-02
21	57	-9.10538e+02	7.50277e-03	4.45281e-02
22	66	-9.14335e+02	6.23112e-03	4.18765e-02
23	75	-9.06492e+02	5.83659e-03	4.02132e-02
24	86	-9.06962e+02	5.76161e-03	3.97080e-02
25	99	-9.10870e+02	5.47351e-03	3.88191e-02
26	113	-9.12924e+02	5.40980e-03	3.78679e-02
27	130	-9.10385e+02	5.37237e-03	3.71448e-02
28	149	-9.12310e+02	5.12860e-03	3.65766e-02
29	170	-9.08898e+02	5.03525e-03	3.61552e-02
30	195	-9.07911e+02	5.06402e-03	3.52091e-02
