# ||A||_2 = 1.031799306246e+05, condition number = 3.289976243248e+18, 484 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-7.333893390939e+01	8.476198e-08	6.288795e+04	4.898752e-03	6.304511e-02
1.000000e-16	9.691807e-22	-7.333893390939e+01	8.476198e-08	6.288795e+04	4.898752e-03	6.304511e-02
1.000000e-15	9.691807e-21	-7.333893390939e+01	8.476198e-08	6.288795e+04	4.898752e-03	6.304511e-02
1.000000e-14	9.691807e-20	-7.333893390939e+01	8.476198e-08	6.288795e+04	4.898752e-03	6.304511e-02
1.000000e-13	9.691807e-19	-7.334010141170e+01	1.506641e-07	1.857759e+05	1.091085e-02	1.653248e-01
1.000000e-12	9.691807e-18	-7.334086864848e+01	1.058506e-07	5.710661e+04	5.013987e-03	6.374560e-02
1.000000e-11	9.691807e-17	-7.336828913567e+01	7.713582e-07	7.651978e+04	5.213631e-03	6.864849e-02
1.000000e-10	9.691807e-16	-7.333894731630e+01	1.564637e-07	1.566676e+03	3.285490e-03	2.293275e-02
1.000000e-09	9.691807e-15	-7.333867642644e+01	4.239592e-07	4.239710e+02	3.095198e-03	1.668437e-02
1.000000e-08	9.691807e-14	-7.333847595410e+01	1.318723e-06	1.318698e+02	2.972672e-03	1.253554e-02
1.000000e-07	9.691807e-13	-7.333828191843e+01	5.099823e-06	5.099831e+01	2.935575e-03	1.018202e-02
1.000000e-06	9.691807e-12	-7.333799725823e+01	2.411882e-05	2.411881e+01	3.150924e-03	1.086821e-02
1.000000e-05	9.691807e-11	-7.333734986739e+01	1.263549e-04	1.263549e+01	4.155352e-03	1.646086e-02
1.000000e-04	9.691807e-10	-7.333563759534e+01	7.100235e-04	7.100235e+00	7.132747e-03	2.802479e-02
1.000000e-03	9.691807e-09	-7.333012342256e+01	3.988127e-03	3.988127e+00	1.307158e-02	4.654472e-02
1.000000e-02	9.691807e-08	-7.331411086966e+01	2.216299e-02	2.216299e+00	3.071561e-02	8.426212e-02
1.000000e-01	9.691807e-07	-7.325504024278e+01	1.214973e-01	1.214973e+00	6.884011e-02	1.493775e-01
1.000000e+00	9.691807e-06	-7.310826054827e+01	6.937187e-01	6.937187e-01	8.305007e-02	2.002674e-01
