# ||A||_2 = 1.031803947670e+05, condition number = 2.272319538828e+19, 484 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-7.334950661935e+01	5.196454e-07	3.022739e+05	1.500825e-02	2.180948e-01
1.000000e-16	9.691764e-22	-7.334950661935e+01	5.196454e-07	3.022739e+05	1.500825e-02	2.180948e-01
1.000000e-15	9.691764e-21	-7.334950661935e+01	5.196454e-07	3.022739e+05	1.500825e-02	2.180948e-01
1.000000e-14	9.691764e-20	-7.334950661935e+01	5.196454e-07	3.022739e+05	1.500825e-02	2.180948e-01
1.000000e-13	9.691764e-19	-7.335123453164e+01	3.081767e-07	3.179493e+05	1.563445e-02	2.309136e-01
1.000000e-12	9.691764e-18	-7.367964665913e+01	1.182698e-06	8.314447e+05	3.269869e-02	5.342006e-01
1.000000e-11	9.691764e-17	-7.338442811116e+01	8.518004e-07	8.510635e+04	9.743309e-03	1.025580e-01
1.000000e-10	9.691764e-16	-7.334635302253e+01	3.418134e-07	3.417328e+03	7.394616e-03	5.219386e-02
1.000000e-09	9.691764e-15	-7.334508119712e+01	8.415545e-07	8.415997e+02	6.659645e-03	3.664173e-02
1.000000e-08	9.691764e-14	-7.334429864018e+01	2.290511e-06	2.290483e+02	6.192352e-03	2.694045e-02
1.000000e-07	9.691764e-13	-7.334371417788e+01	7.311878e-06	7.311876e+01	5.879074e-03	2.049449e-02
1.000000e-06	9.691764e-12	-7.334312066942e+01	2.886072e-05	2.886072e+01	5.786411e-03	1.719822e-02
1.000000e-05	9.691764e-11	-7.334218099588e+01	1.368806e-04	1.368806e+01	6.292689e-03	1.907750e-02
1.000000e-04	9.691764e-10	-7.334015755788e+01	7.324830e-04	7.324830e+00	8.774687e-03	2.920023e-02
1.000000e-03	9.691764e-09	-7.333427001839e+01	4.053025e-03	4.053025e+00	1.411870e-02	4.683250e-02
1.000000e-02	9.691764e-08	-7.331765275039e+01	2.226407e-02	2.226407e+00	3.152978e-02	8.468418e-02
1.000000e-01	9.691764e-07	-7.325804017608e+01	1.218643e-01	1.218643e+00	6.926922e-02	1.495793e-01
1.000000e+00	9.691764e-06	-7.311030895881e+01	6.947913e-01	6.947913e-01	8.301318e-02	2.002072e-01
