# ||A||_2 = 1.031798640786e+05, condition number = 1.134673303684e+19, 484 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-7.333600698848e+01	3.785787e-08	3.617106e+04	2.353141e-03	3.082920e-02
1.000000e-16	9.691814e-22	-7.333600698848e+01	3.785787e-08	3.617106e+04	2.353141e-03	3.082920e-02
1.000000e-15	9.691814e-21	-7.333600698848e+01	3.785787e-08	3.617106e+04	2.353141e-03	3.082920e-02
1.000000e-14	9.691814e-20	-7.333600698848e+01	3.785787e-08	3.617106e+04	2.353141e-03	3.082920e-02
1.000000e-13	9.691814e-19	-7.333626263799e+01	4.083912e-07	4.179048e+05	2.084810e-02	3.326919e-01
1.000000e-12	9.691814e-18	-7.334529099568e+01	1.945235e-07	1.311060e+05	6.208315e-03	9.844841e-02
1.000000e-11	9.691814e-17	-7.334120636049e+01	3.222523e-07	3.208966e+04	2.129535e-03	2.684987e-02
1.000000e-10	9.691814e-16	-7.333595946998e+01	8.011793e-08	8.005254e+02	1.555016e-03	1.060194e-02
1.000000e-09	9.691814e-15	-7.333588840058e+01	2.403669e-07	2.403666e+02	1.499306e-03	7.756974e-03
1.000000e-08	9.691814e-14	-7.333582392480e+01	8.977641e-07	8.977550e+01	1.481611e-03	6.073974e-03
1.000000e-07	9.691814e-13	-7.333573488503e+01	4.179143e-06	4.179131e+01	1.563713e-03	6.123820e-03
1.000000e-06	9.691814e-12	-7.333554725911e+01	2.214411e-05	2.214411e+01	1.972306e-03	9.085463e-03
1.000000e-05	9.691814e-11	-7.333500745438e+01	1.217755e-04	1.217755e+01	3.280677e-03	1.594608e-02
1.000000e-04	9.691814e-10	-7.333342346267e+01	6.997780e-04	6.997780e+00	6.441885e-03	2.772155e-02
1.000000e-03	9.691814e-09	-7.332807633803e+01	3.957296e-03	3.957296e+00	1.261237e-02	4.648338e-02
1.000000e-02	9.691814e-08	-7.331234818721e+01	2.211459e-02	2.211459e+00	3.032262e-02	8.406852e-02
1.000000e-01	9.691814e-07	-7.325353658997e+01	1.213168e-01	1.213168e+00	6.863216e-02	1.492831e-01
1.000000e+00	9.691814e-06	-7.310722352677e+01	6.931896e-01	6.931896e-01	8.307082e-02	2.002990e-01
