i, epoch, loss, l2_err, h1_err
  0     1 -7.26576e+01 9.39959e-01 9.46763e-01
  1     2 -1.41434e+02 9.10578e-01 9.23675e-01
  2     3 -2.09326e+02 8.81184e-01 9.02484e-01
  3     4 -2.72890e+02 8.51794e-01 8.82925e-01
  4     5 -3.30098e+02 8.22515e-01 8.64421e-01
  5     6 -3.91947e+02 7.93102e-01 8.46054e-01
  6     7 -4.45269e+02 7.63501e-01 8.27233e-01
  7     9 -5.51567e+02 7.04339e-01 7.87258e-01
  8    11 -6.46831e+02 6.46156e-01 7.45070e-01
  9    13 -7.21781e+02 5.89700e-01 7.02655e-01
 10    16 -8.19062e+02 5.08651e-01 6.41045e-01
 11    20 -9.35910e+02 4.06975e-01 5.63437e-01
 12    24 -1.01609e+03 3.14211e-01 4.88532e-01
 13    29 -1.06283e+03 2.13767e-01 3.97871e-01
 14    35 -1.11972e+03 1.19618e-01 3.00007e-01
 15    42 -1.11328e+03 5.03645e-02 2.17150e-01
 16    51 -1.13210e+03 4.33135e-02 1.93642e-01
 17    62 -1.11627e+03 5.49701e-02 1.99393e-01
 18    75 -1.15703e+03 3.98279e-02 1.86002e-01
 19    91 -1.12523e+03 2.31309e-02 1.75951e-01
 20   109 -1.12641e+03 1.74943e-02 1.69822e-01
 21   132 -1.13543e+03 1.94867e-02 1.71290e-01
 22   159 -1.15408e+03 2.08031e-02 1.73768e-01
 23   193 -1.12138e+03 1.83955e-02 1.69322e-01
 24   232 -1.15109e+03 1.89265e-02 1.70374e-01
 25   281 -1.13998e+03 1.83850e-02 1.69212e-01
 26   339 -1.12772e+03 1.73949e-02 1.67812e-01
 27   409 -1.12439e+03 1.84190e-02 1.69257e-01
 28   494 -1.12378e+03 2.02171e-02 1.72747e-01
 29   596 -1.14492e+03 2.00314e-02 1.72687e-01
 30   719 -1.12692e+03 2.01843e-02 1.72556e-01
 31   868 -1.13669e+03 2.02157e-02 1.72818e-01
 32  1048 -1.12524e+03 1.91088e-02 1.70509e-01
 33  1264 -1.13510e+03 1.97914e-02 1.71825e-01
 34  1526 -1.13513e+03 1.95986e-02 1.71421e-01
 35  1842 -1.12184e+03 1.95374e-02 1.71363e-01
 36  2222 -1.11427e+03 1.94695e-02 1.71227e-01
 37  2682 -1.14161e+03 1.95348e-02 1.71325e-01
 38  3237 -1.14773e+03 1.95377e-02 1.71329e-01
 39  3906 -1.11812e+03 1.95402e-02 1.71335e-01
 40  4714 -1.13350e+03 1.95443e-02 1.71344e-01
 41  5689 -1.11973e+03 1.95490e-02 1.71354e-01
 42  6866 -1.13097e+03 1.95517e-02 1.71359e-01
 43  8286 -1.13439e+03 1.95594e-02 1.71377e-01
 44 10000 -1.12408e+03 1.95560e-02 1.71366e-01
