i, epoch, loss, l2_err, h1_err
  0     1 -7.28313e+01 9.85496e-01 1.01551e+00
  1     2 -1.43173e+02 9.79230e-01 1.04452e+00
  2     3 -2.11810e+02 9.73116e-01 1.08430e+00
  3     4 -2.72990e+02 9.66611e-01 1.13079e+00
  4     5 -3.35994e+02 9.59217e-01 1.18004e+00
  5     6 -3.89792e+02 9.50279e-01 1.22760e+00
  6     7 -4.50865e+02 9.39231e-01 1.26978e+00
  7     9 -5.50830e+02 9.10698e-01 1.33457e+00
  8    11 -6.38944e+02 8.73962e-01 1.36876e+00
  9    13 -7.21725e+02 8.31022e-01 1.37519e+00
 10    16 -8.33641e+02 7.59917e-01 1.34715e+00
 11    20 -9.24652e+02 6.59605e-01 1.26166e+00
 12    24 -1.01533e+03 5.58659e-01 1.14105e+00
 13    29 -1.06426e+03 4.37092e-01 9.63427e-01
 14    35 -1.11464e+03 3.04738e-01 7.43233e-01
 15    42 -1.11297e+03 1.78071e-01 5.32091e-01
 16    51 -1.12049e+03 6.99242e-02 3.66754e-01
 17    62 -1.14051e+03 3.22771e-02 2.52220e-01
 18    75 -1.12914e+03 3.49281e-02 1.99287e-01
 19    91 -1.13076e+03 1.84872e-02 1.75356e-01
 20   109 -1.12988e+03 1.45120e-02 1.80054e-01
 21   132 -1.12226e+03 1.52291e-02 1.76458e-01
 22   159 -1.13248e+03 1.51958e-02 1.75564e-01
 23   193 -1.10803e+03 1.53244e-02 1.75374e-01
 24   232 -1.13377e+03 1.50315e-02 1.75085e-01
 25   281 -1.14435e+03 1.42016e-02 1.71008e-01
 26   339 -1.13108e+03 1.56107e-02 1.77780e-01
 27   409 -1.13248e+03 1.43097e-02 1.71277e-01
 28   494 -1.14525e+03 1.49467e-02 1.73673e-01
 29   596 -1.12623e+03 1.51615e-02 1.75597e-01
 30   719 -1.13036e+03 1.53656e-02 1.77645e-01
 31   868 -1.13771e+03 1.54318e-02 1.77086e-01
 32  1048 -1.14277e+03 1.49898e-02 1.75077e-01
 33  1264 -1.13192e+03 1.49186e-02 1.74576e-01
 34  1526 -1.11695e+03 1.50138e-02 1.74999e-01
 35  1842 -1.12311e+03 1.50998e-02 1.75607e-01
 36  2222 -1.13243e+03 1.49870e-02 1.74988e-01
 37  2682 -1.14540e+03 1.49880e-02 1.74958e-01
 38  3237 -1.14640e+03 1.49925e-02 1.74957e-01
 39  3906 -1.14322e+03 1.49903e-02 1.74948e-01
 40  4714 -1.12235e+03 1.49914e-02 1.74951e-01
 41  5689 -1.11445e+03 1.49919e-02 1.74952e-01
 42  6866 -1.11452e+03 1.49927e-02 1.74952e-01
 43  8286 -1.12291e+03 1.49956e-02 1.74961e-01
 44 10000 -1.13039e+03 1.49988e-02 1.74968e-01
