i, epoch, loss, l2_err, h1_err
  0     1 -7.15210e+01 9.32926e-01 9.36259e-01
  1     2 -1.40420e+02 8.99621e-01 9.04717e-01
  2     3 -2.06768e+02 8.66444e-01 8.73389e-01
  3     4 -2.67959e+02 8.33405e-01 8.42285e-01
  4     5 -3.34227e+02 8.00568e-01 8.11461e-01
  5     6 -3.89982e+02 7.67958e-01 7.80943e-01
  6     7 -4.49842e+02 7.35659e-01 7.50806e-01
  7     9 -5.51403e+02 6.71980e-01 6.91742e-01
  8    11 -6.47389e+02 6.09886e-01 6.34719e-01
  9    13 -7.23920e+02 5.49671e-01 5.79999e-01
 10    16 -8.26788e+02 4.63958e-01 5.03472e-01
 11    20 -9.30403e+02 3.59362e-01 4.12827e-01
 12    24 -1.01495e+03 2.67904e-01 3.37438e-01
 13    29 -1.07038e+03 1.74525e-01 2.67538e-01
 14    35 -1.11148e+03 9.51055e-02 2.20528e-01
 15    42 -1.11147e+03 5.09214e-02 2.08124e-01
 16    51 -1.14024e+03 5.66297e-02 2.22015e-01
 17    62 -1.12099e+03 6.60338e-02 2.31043e-01
 18    75 -1.12891e+03 5.43588e-02 2.17625e-01
 19    91 -1.13484e+03 3.47964e-02 1.99135e-01
 20   109 -1.14306e+03 3.02483e-02 1.95823e-01
 21   132 -1.12175e+03 3.21743e-02 1.97826e-01
 22   159 -1.13060e+03 3.17576e-02 1.97017e-01
 23   193 -1.12293e+03 3.11405e-02 1.96419e-01
 24   232 -1.14298e+03 3.11568e-02 1.96291e-01
 25   281 -1.11673e+03 3.16210e-02 1.96922e-01
 26   339 -1.13977e+03 3.14261e-02 1.96558e-01
 27   409 -1.14692e+03 3.10761e-02 1.96055e-01
 28   494 -1.13833e+03 3.07559e-02 1.95522e-01
 29   596 -1.11123e+03 3.09609e-02 1.95898e-01
 30   719 -1.13527e+03 3.16359e-02 1.97074e-01
 31   868 -1.12397e+03 3.10548e-02 1.96064e-01
 32  1048 -1.11002e+03 3.12797e-02 1.96548e-01
 33  1264 -1.13108e+03 3.15634e-02 1.96905e-01
 34  1526 -1.12562e+03 3.11567e-02 1.96291e-01
 35  1842 -1.12165e+03 3.13038e-02 1.96524e-01
 36  2222 -1.11367e+03 3.12134e-02 1.96365e-01
 37  2682 -1.13167e+03 3.12507e-02 1.96433e-01
 38  3237 -1.10728e+03 3.12519e-02 1.96433e-01
 39  3906 -1.13368e+03 3.12510e-02 1.96432e-01
 40  4714 -1.11525e+03 3.12503e-02 1.96430e-01
 41  5689 -1.12058e+03 3.12531e-02 1.96435e-01
 42  6866 -1.13661e+03 3.12511e-02 1.96431e-01
 43  8286 -1.11570e+03 3.12553e-02 1.96435e-01
 44 10000 -1.13927e+03 3.12554e-02 1.96432e-01
