i, epoch, loss, l2_err, h1_err
  0     1 -6.93205e+01 9.34335e-01 9.37610e-01
  1     2 -1.36207e+02 9.01675e-01 9.06700e-01
  2     3 -2.01121e+02 8.69128e-01 8.75987e-01
  3     4 -2.60721e+02 8.36716e-01 8.45500e-01
  4     5 -3.25536e+02 8.04513e-01 8.15317e-01
  5     6 -3.79695e+02 7.72530e-01 7.85449e-01
  6     7 -4.38375e+02 7.40823e-01 7.55954e-01
  7     9 -5.38961e+02 6.78339e-01 6.98236e-01
  8    11 -6.33715e+02 6.17322e-01 6.42551e-01
  9    13 -7.09957e+02 5.58083e-01 5.89250e-01
 10    16 -8.12675e+02 4.73532e-01 5.14919e-01
 11    20 -9.16016e+02 3.70224e-01 4.28035e-01
 12    24 -1.00218e+03 2.80373e-01 3.58021e-01
 13    29 -1.06080e+03 1.91281e-01 2.97209e-01
 14    35 -1.10252e+03 1.23925e-01 2.60097e-01
 15    42 -1.10285e+03 9.50127e-02 2.47205e-01
 16    51 -1.13511e+03 8.68318e-02 2.45572e-01
 17    62 -1.11598e+03 7.26653e-02 2.43493e-01
 18    75 -1.12286e+03 5.44006e-02 2.36089e-01
 19    91 -1.12987e+03 4.51637e-02 2.28002e-01
 20   109 -1.13882e+03 4.52701e-02 2.25399e-01
 21   132 -1.11679e+03 4.52324e-02 2.25387e-01
 22   159 -1.12607e+03 4.52464e-02 2.25313e-01
 23   193 -1.11816e+03 4.52415e-02 2.25359e-01
 24   232 -1.13794e+03 4.53964e-02 2.25370e-01
 25   281 -1.11292e+03 4.51731e-02 2.25289e-01
 26   339 -1.13564e+03 4.52781e-02 2.25373e-01
 27   409 -1.14216e+03 4.51737e-02 2.25163e-01
 28   494 -1.13374e+03 4.55662e-02 2.25497e-01
 29   596 -1.10653e+03 4.52402e-02 2.25239e-01
 30   719 -1.13142e+03 4.51229e-02 2.25259e-01
 31   868 -1.12023e+03 4.53558e-02 2.25320e-01
 32  1048 -1.10518e+03 4.53690e-02 2.25386e-01
 33  1264 -1.12709e+03 4.51897e-02 2.25288e-01
 34  1526 -1.12318e+03 4.52865e-02 2.25333e-01
 35  1842 -1.11783e+03 4.52880e-02 2.25389e-01
 36  2222 -1.10736e+03 4.52964e-02 2.25395e-01
 37  2682 -1.12782e+03 4.52540e-02 2.25361e-01
 38  3237 -1.10230e+03 4.52560e-02 2.25359e-01
 39  3906 -1.12906e+03 4.52569e-02 2.25359e-01
 40  4714 -1.11188e+03 4.52587e-02 2.25359e-01
 41  5689 -1.11633e+03 4.52580e-02 2.25357e-01
 42  6866 -1.13192e+03 4.52624e-02 2.25361e-01
 43  8286 -1.11263e+03 4.52653e-02 2.25359e-01
 44 10000 -1.13437e+03 4.52610e-02 2.25360e-01
