n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	528.26	66.80
2	16	16	10000	387.91	75.75
4	30	30	10000	388.53	111.69
6	50	50	10000	392.42	162.97
8	85	85	10000	390.55	240.60
10	129	129	10000	391.00	347.23
12	164	164	10000	392.73	547.63
14	226	226	10000	392.81	590.72
16	279	279	10000	391.88	694.54
18	349	349	10000	394.13	863.70
20	451	451	10000	400.22	1097.53
