# ||A||_2 = 5.639034230779e+04, condition number = 1.262316067944e+15, 451 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-1.129601616786e+03	2.077812e-08	1.051702e+04	2.298810e-03	9.922172e-02
1.000000e-16	1.773353e-21	-1.129601616786e+03	2.077812e-08	1.051702e+04	2.298810e-03	9.922172e-02
1.000000e-15	1.773353e-20	-1.129601616786e+03	2.077812e-08	1.051702e+04	2.298810e-03	9.922172e-02
1.000000e-14	1.773353e-19	-1.129601616786e+03	2.077812e-08	1.051702e+04	2.298810e-03	9.922172e-02
1.000000e-13	1.773353e-18	-1.129601617270e+03	2.047887e-08	1.051223e+04	2.298822e-03	9.921375e-02
1.000000e-12	1.773353e-17	-1.129601621216e+03	2.290781e-08	1.048887e+04	2.299869e-03	9.921085e-02
1.000000e-11	1.773353e-16	-1.129601604157e+03	1.066518e-07	1.022446e+04	2.310186e-03	9.914923e-02
1.000000e-10	1.773353e-15	-1.129600783250e+03	8.450955e-07	8.439242e+03	2.415541e-03	9.922401e-02
1.000000e-09	1.773353e-14	-1.129591564117e+03	4.267847e-06	4.267575e+03	3.015620e-03	1.038689e-01
1.000000e-08	1.773353e-13	-1.129569966841e+03	1.683430e-05	1.683461e+03	4.052781e-03	1.118178e-01
1.000000e-07	1.773353e-12	-1.129536530044e+03	6.215497e-05	6.215501e+02	5.530619e-03	1.200652e-01
1.000000e-06	1.773353e-11	-1.129491429661e+03	2.233860e-04	2.233859e+02	7.673655e-03	1.302077e-01
1.000000e-05	1.773353e-10	-1.129433107909e+03	8.037041e-04	8.037041e+01	1.067591e-02	1.420231e-01
1.000000e-04	1.773353e-09	-1.129358649231e+03	2.942912e-03	2.942912e+01	1.478981e-02	1.553068e-01
1.000000e-03	1.773353e-08	-1.129256296137e+03	1.081259e-02	1.081259e+01	2.068090e-02	1.722759e-01
1.000000e-02	1.773353e-07	-1.129129756245e+03	4.253964e-02	4.253964e+00	2.802952e-02	1.903895e-01
1.000000e-01	1.773353e-06	-1.128917159165e+03	1.914112e-01	1.914112e+00	4.185801e-02	2.233975e-01
1.000000e+00	1.773353e-05	-1.128483396601e+03	8.443163e-01	8.443163e-01	6.298496e-02	2.722274e-01
