# ||A||_2 = 5.643504255929e+04, condition number = 1.138421819824e+15, 451 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-1.129500357267e+03	1.963264e-08	1.031817e+04	2.148531e-03	9.880145e-02
1.000000e-16	1.771949e-21	-1.129500357267e+03	1.963264e-08	1.031817e+04	2.148531e-03	9.880145e-02
1.000000e-15	1.771949e-20	-1.129500357267e+03	1.963264e-08	1.031817e+04	2.148531e-03	9.880145e-02
1.000000e-14	1.771949e-19	-1.129500357267e+03	1.963264e-08	1.031817e+04	2.148531e-03	9.880145e-02
1.000000e-13	1.771949e-18	-1.129500355642e+03	1.998827e-08	1.031939e+04	2.148561e-03	9.880033e-02
1.000000e-12	1.771949e-17	-1.129500357925e+03	2.163855e-08	1.029586e+04	2.149203e-03	9.879919e-02
1.000000e-11	1.771949e-16	-1.129500345179e+03	1.032252e-07	1.004646e+04	2.155381e-03	9.874825e-02
1.000000e-10	1.771949e-15	-1.129499563222e+03	8.295639e-07	8.311447e+03	2.231439e-03	9.883757e-02
1.000000e-09	1.771949e-14	-1.129490636024e+03	4.220537e-06	4.222059e+03	2.766811e-03	1.034280e-01
1.000000e-08	1.771949e-13	-1.129469487991e+03	1.671420e-05	1.671409e+03	3.777426e-03	1.113582e-01
1.000000e-07	1.771949e-12	-1.129436520248e+03	6.182365e-05	6.182355e+02	5.251702e-03	1.196463e-01
1.000000e-06	1.771949e-11	-1.129391894910e+03	2.225170e-04	2.225170e+02	7.396468e-03	1.298231e-01
1.000000e-05	1.771949e-10	-1.129334022034e+03	8.014851e-04	8.014851e+01	1.040663e-02	1.416717e-01
1.000000e-04	1.771949e-09	-1.129259962968e+03	2.937357e-03	2.937357e+01	1.453400e-02	1.549974e-01
1.000000e-03	1.771949e-08	-1.129158010799e+03	1.080478e-02	1.080478e+01	2.045276e-02	1.720008e-01
1.000000e-02	1.771949e-07	-1.129031610636e+03	4.251353e-02	4.251353e+00	2.784227e-02	1.902119e-01
1.000000e-01	1.771949e-06	-1.128819313961e+03	1.913831e-01	1.913831e+00	4.167560e-02	2.231273e-01
1.000000e+00	1.771949e-05	-1.128385715755e+03	8.451716e-01	8.451716e-01	6.299920e-02	2.721697e-01
