# ||A||_2 = 5.644618614106e+04, condition number = 1.221807528082e+15, 451 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-1.129466704324e+03	2.129106e-08	1.017915e+04	2.127786e-03	9.873766e-02
1.000000e-16	1.771599e-21	-1.129466704324e+03	2.129106e-08	1.017915e+04	2.127786e-03	9.873766e-02
1.000000e-15	1.771599e-20	-1.129466704324e+03	2.129106e-08	1.017915e+04	2.127786e-03	9.873766e-02
1.000000e-14	1.771599e-19	-1.129466704324e+03	2.129106e-08	1.017915e+04	2.127786e-03	9.873766e-02
1.000000e-13	1.771599e-18	-1.129466704056e+03	1.982764e-08	1.016839e+04	2.127852e-03	9.872858e-02
1.000000e-12	1.771599e-17	-1.129466705212e+03	2.309540e-08	1.014359e+04	2.128564e-03	9.872609e-02
1.000000e-11	1.771599e-16	-1.129466691346e+03	1.014176e-07	9.904664e+03	2.134351e-03	9.867796e-02
1.000000e-10	1.771599e-15	-1.129465932825e+03	8.213275e-07	8.203439e+03	2.209870e-03	9.880773e-02
1.000000e-09	1.771599e-14	-1.129457238863e+03	4.191138e-06	4.190917e+03	2.739820e-03	1.034006e-01
1.000000e-08	1.771599e-13	-1.129436375526e+03	1.664867e-05	1.664877e+03	3.750793e-03	1.113054e-01
1.000000e-07	1.771599e-12	-1.129403659430e+03	6.160040e-05	6.160025e+02	5.225364e-03	1.195907e-01
1.000000e-06	1.771599e-11	-1.129359359052e+03	2.218099e-04	2.218098e+02	7.369776e-03	1.297717e-01
1.000000e-05	1.771599e-10	-1.129301853889e+03	7.996053e-04	7.996053e+01	1.038083e-02	1.416289e-01
1.000000e-04	1.771599e-09	-1.129228136658e+03	2.932891e-03	2.932891e+01	1.451045e-02	1.549690e-01
1.000000e-03	1.771599e-08	-1.129126489294e+03	1.079677e-02	1.079677e+01	2.043284e-02	1.719796e-01
1.000000e-02	1.771599e-07	-1.129000271650e+03	4.249945e-02	4.249945e+00	2.782644e-02	1.902074e-01
1.000000e-01	1.771599e-06	-1.128788105980e+03	1.913674e-01	1.913674e+00	4.164871e-02	2.230856e-01
1.000000e+00	1.771599e-05	-1.128354592351e+03	8.452871e-01	8.452871e-01	6.300233e-02	2.721610e-01
