i	epoch	loss	l2_err	h1_err
0	1	-6.50211e+02	8.88547e-01	8.94507e-01
1	2	-1.80419e+02	5.11497e-01	5.59819e-01
2	3	-6.73428e+02	9.75111e-02	2.86024e-01
3	4	-8.95596e+02	5.40674e-01	5.86864e-01
4	5	-6.47424e+02	6.51093e-01	6.82462e-01
5	6	-5.25859e+02	4.59462e-01	5.18305e-01
6	7	-7.18612e+02	1.17849e-01	2.91800e-01
7	8	-8.94801e+02	4.59200e-01	5.15935e-01
8	9	-8.41833e+02	2.86487e-01	3.82684e-01
9	11	-7.14167e+02	2.37971e-01	3.54431e-01
10	12	-8.27280e+02	2.25201e-01	3.46234e-01
11	14	-8.55839e+02	2.71745e-01	3.73289e-01
12	16	-7.96910e+02	2.39633e-01	3.55304e-01
13	19	-8.70009e+02	1.85972e-01	3.21242e-01
14	22	-8.84093e+02	1.09092e-01	2.88990e-01
15	25	-8.60099e+02	1.09136e-01	2.87997e-01
16	29	-8.92163e+02	8.91244e-02	2.81670e-01
17	34	-8.92588e+02	5.81004e-02	2.74756e-01
18	39	-8.95388e+02	6.17408e-02	2.76775e-01
19	45	-9.02759e+02	5.71945e-02	2.73497e-01
20	51	-9.04462e+02	5.66820e-02	2.75031e-01
21	59	-9.02516e+02	5.64598e-02	2.74167e-01
22	68	-9.02490e+02	5.67666e-02	2.73058e-01
23	79	-9.01922e+02	5.57476e-02	2.73174e-01
24	91	-9.01940e+02	5.60348e-02	2.73345e-01
25	105	-9.06266e+02	5.64348e-02	2.74113e-01
26	121	-9.06273e+02	5.59942e-02	2.74707e-01
27	139	-9.01768e+02	5.59664e-02	2.75599e-01
28	160	-9.02771e+02	5.65474e-02	2.74112e-01
29	184	-9.04461e+02	5.61706e-02	2.75487e-01
30	212	-9.05170e+02	5.67094e-02	2.74071e-01
31	245	-9.07730e+02	5.57880e-02	2.73502e-01
