i	epoch	loss	l2_err	h1_err
0	1	-6.89035e+02	6.13097e-02	2.75258e-01
1	2	-9.03099e+02	3.46918e-01	4.27394e-01
2	3	-7.94287e+02	5.44815e-01	5.87665e-01
3	4	-6.29178e+02	5.77860e-01	6.15758e-01
4	5	-6.13909e+02	4.96257e-01	5.46153e-01
5	6	-6.76901e+02	3.44653e-01	4.25562e-01
6	7	-7.92774e+02	1.62348e-01	3.11426e-01
7	8	-8.84500e+02	2.12787e-01	3.38667e-01
8	9	-9.09735e+02	3.79323e-01	4.53844e-01
9	11	-8.14117e+02	3.11161e-01	4.03031e-01
10	13	-7.86335e+02	6.31893e-02	2.75560e-01
11	14	-8.24784e+02	2.38939e-01	3.53666e-01
12	17	-9.01462e+02	6.67563e-02	2.78388e-01
13	19	-8.70494e+02	1.44829e-01	3.04038e-01
14	22	-8.84944e+02	1.23254e-01	2.92670e-01
15	25	-9.07765e+02	1.04692e-01	2.86912e-01
16	29	-8.81966e+02	6.21889e-02	2.75118e-01
17	33	-9.10647e+02	6.09113e-02	2.74973e-01
18	38	-9.02123e+02	5.66531e-02	2.73854e-01
19	44	-9.07277e+02	5.70756e-02	2.73969e-01
20	50	-9.10626e+02	5.66203e-02	2.73566e-01
21	57	-9.06735e+02	5.64561e-02	2.72669e-01
22	66	-9.12106e+02	5.55180e-02	2.73758e-01
23	75	-9.02492e+02	5.64198e-02	2.73978e-01
24	86	-9.03263e+02	5.67395e-02	2.74360e-01
25	99	-9.07185e+02	5.63344e-02	2.74023e-01
26	113	-9.09283e+02	5.63707e-02	2.73886e-01
27	130	-9.06076e+02	5.63211e-02	2.72869e-01
28	149	-9.08473e+02	5.59069e-02	2.73162e-01
29	170	-9.04909e+02	5.67088e-02	2.73709e-01
30	195	-9.03772e+02	5.62520e-02	2.73470e-01
