i	epoch	loss	l2_err	h1_err
0	1	-9.05539e+02	6.76212e-01	7.01561e-01
1	2	-4.82263e+02	7.33825e-01	7.53058e-01
2	3	-4.09138e+02	4.66626e-01	5.22400e-01
3	4	-6.99516e+02	9.36366e-02	2.82421e-01
4	5	-8.97480e+02	2.93345e-01	3.90559e-01
5	6	-8.34544e+02	5.06935e-01	5.57803e-01
6	7	-6.78406e+02	5.29876e-01	5.77404e-01
7	8	-6.55918e+02	1.74137e-01	3.16651e-01
8	10	-8.83675e+02	2.87393e-01	3.83253e-01
9	11	-9.01116e+02	3.63281e-01	4.40125e-01
10	13	-7.79322e+02	1.18881e-01	2.91831e-01
11	15	-8.40142e+02	1.83001e-01	3.21690e-01
12	18	-8.56228e+02	2.20760e-01	3.42497e-01
13	21	-8.81259e+02	1.69120e-01	3.14954e-01
14	24	-8.72512e+02	1.31426e-01	2.94628e-01
15	28	-9.02616e+02	7.98440e-02	2.80294e-01
16	33	-9.11785e+02	8.33438e-02	2.80667e-01
17	38	-8.99723e+02	5.82157e-02	2.73494e-01
18	44	-9.06926e+02	5.77445e-02	2.74467e-01
19	51	-9.11151e+02	5.64832e-02	2.74628e-01
20	59	-9.01860e+02	5.60831e-02	2.75142e-01
21	68	-9.08175e+02	5.65470e-02	2.74844e-01
22	79	-9.12961e+02	5.62728e-02	2.73944e-01
23	91	-9.06179e+02	5.61140e-02	2.73155e-01
24	106	-9.09060e+02	5.54154e-02	2.74402e-01
25	122	-9.08043e+02	5.63070e-02	2.73372e-01
26	142	-9.10337e+02	5.63244e-02	2.73192e-01
27	164	-9.03893e+02	5.62522e-02	2.73983e-01
28	190	-9.08704e+02	5.59694e-02	2.74139e-01
29	220	-9.15688e+02	5.65239e-02	2.73664e-01
30	254	-9.06147e+02	5.70658e-02	2.74667e-01
31	295	-9.06532e+02	5.56748e-02	2.74765e-01
32	341	-9.06406e+02	5.63519e-02	2.72000e-01
33	394	-9.03189e+02	5.65025e-02	2.74414e-01
