n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	388.91	70.30
2	16	16	10000	388.16	102.36
4	36	36	10000	391.62	196.81
6	64	64	10000	393.58	325.11
8	100	100	10000	396.28	490.97
10	144	144	10000	395.90	758.71
12	196	196	10000	395.96	1022.01
14	256	256	10000	395.34	1329.96
16	324	324	10000	400.36	1608.54
18	400	400	10000	410.51	1917.18
20	484	484	10000	419.67	2313.68
