i, epoch, loss, l2_err, h1_err
  0     1 -9.73351e+00 9.19181e-01 1.02314e+00
  1     2 -1.84141e+01 8.77473e-01 1.05210e+00
  2     3 -2.65749e+01 8.35098e-01 1.05735e+00
  3     4 -3.42690e+01 7.92798e-01 1.04745e+00
  4     5 -3.88085e+01 7.50250e-01 1.02946e+00
  5     6 -4.35242e+01 7.07413e-01 1.00940e+00
  6     7 -4.79895e+01 6.64967e-01 9.88090e-01
  7     9 -5.63228e+01 5.82462e-01 9.36474e-01
  8    11 -6.26008e+01 5.06840e-01 8.73300e-01
  9    13 -6.87527e+01 4.37235e-01 8.08498e-01
 10    16 -6.95597e+01 3.41760e-01 7.10158e-01
 11    20 -6.88782e+01 2.36520e-01 5.75376e-01
 12    24 -7.07337e+01 1.69815e-01 4.77926e-01
 13    29 -7.17663e+01 1.18270e-01 3.67656e-01
 14    35 -7.20682e+01 8.08007e-02 2.78904e-01
 15    42 -7.12026e+01 7.58984e-02 2.52964e-01
 16    51 -7.20323e+01 8.32780e-02 1.89068e-01
 17    62 -7.08925e+01 4.58295e-02 1.36971e-01
 18    75 -7.39232e+01 2.67128e-02 1.10280e-01
 19    91 -7.53392e+01 1.13674e-02 9.15557e-02
 20   109 -7.42996e+01 1.11868e-02 9.00434e-02
 21   132 -7.59925e+01 1.27691e-02 9.37241e-02
 22   159 -7.14446e+01 1.38436e-02 9.73061e-02
 23   193 -7.26055e+01 1.12152e-02 8.82220e-02
 24   232 -7.40516e+01 1.07248e-02 8.95680e-02
 25   281 -7.63017e+01 1.28205e-02 9.53164e-02
 26   339 -7.49611e+01 1.09405e-02 8.98631e-02
 27   409 -7.56207e+01 1.23880e-02 9.46852e-02
 28   494 -7.38180e+01 1.39155e-02 1.04572e-01
 29   596 -7.22454e+01 1.44090e-02 1.00607e-01
 30   719 -7.28722e+01 1.00897e-02 8.86745e-02
 31   868 -7.27140e+01 8.27257e-03 8.27096e-02
 32  1048 -7.54472e+01 9.31889e-03 8.41916e-02
 33  1264 -7.50663e+01 8.77869e-03 8.27466e-02
 34  1526 -7.30560e+01 8.00782e-03 8.20318e-02
 35  1842 -7.31336e+01 7.45042e-03 8.00693e-02
 36  2222 -7.23445e+01 7.51894e-03 8.01890e-02
 37  2682 -7.28002e+01 7.37216e-03 7.99687e-02
 38  3237 -7.08972e+01 7.37088e-03 7.99214e-02
 39  3906 -7.74510e+01 7.36003e-03 7.98695e-02
 40  4714 -7.65526e+01 7.35825e-03 7.98745e-02
 41  5689 -7.20774e+01 7.35797e-03 7.98700e-02
 42  6866 -7.27625e+01 7.35960e-03 7.98766e-02
 43  8286 -7.33132e+01 7.35781e-03 7.98721e-02
 44 10000 -7.24805e+01 7.35818e-03 7.98751e-02
