n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.6506305254650272	1.4214453553530382	0.0023	0.00
2	0.3333333333333333	16	0.5649372167959249	1.396985517535363	0.0020	0.00
4	0.2	30	0.20642507907871466	0.8316437006476526	0.0008	0.00
6	0.14285714285714285	50	0.06992423445423253	0.4905905078750237	0.0008	0.00
8	0.1111111111111111	85	0.02599205793147522	0.30042963968886843	0.0049	0.00
10	0.09090909090909091	129	0.018628427216934428	0.2474640692021863	0.0094	0.00
12	0.07692307692307693	164	0.01467193785314359	0.22161731725561873	0.0185	0.00
14	0.06666666666666667	226	0.008525681531474167	0.18665878960213314	0.0124	0.00
16	0.058823529411764705	279	0.007059980341357193	0.17304065231416016	0.0319	0.00
18	0.05263157894736842	349	0.007629308105118405	0.16544423973852762	0.0178	0.00
20	0.047619047619047616	451	0.004808432617322103	0.1545499322508752	0.0575	0.00
