n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.716976714694921	1.5419452533281464	0.0029	0.00
2	0.3333333333333333	16	0.6353912953922292	1.5773230263620042	0.0029	0.00
4	0.2	30	0.3068515829274357	1.258856566157043	0.0031	0.00
6	0.14285714285714285	50	0.08234643587721081	0.5832470276293434	0.0010	0.00
8	0.1111111111111111	85	0.0356416176605192	0.3984146722856499	0.0056	0.00
10	0.09090909090909091	129	0.022405356508582837	0.2905901283224678	0.0247	0.00
12	0.07692307692307693	164	0.016337084730049502	0.24184563783933138	0.0045	0.00
14	0.06666666666666667	226	0.009638989973332245	0.20430775580602495	0.0443	0.00
16	0.058823529411764705	279	0.0082172937342789	0.19356602034098272	0.0056	0.00
18	0.05263157894736842	349	0.008063973573700414	0.1712912344788244	0.0724	0.00
20	0.047619047619047616	451	0.005646392187634093	0.1746471338847452	0.0174	0.00
