iteration	loss
0	0.000000e+00
1	-5.216403e+01
2	-1.012604e+02
3	-1.501893e+02
4	-1.980199e+02
5	-2.435304e+02
6	-2.881676e+02
7	-3.239975e+02
8	-3.723340e+02
9	-4.005241e+02
10	-4.441073e+02
11	-4.844132e+02
12	-5.096932e+02
13	-5.443064e+02
14	-5.746203e+02
15	-6.042299e+02
16	-6.370138e+02
17	-6.470632e+02
18	-6.783802e+02
19	-7.112602e+02
20	-7.172983e+02
21	-7.445453e+02
22	-7.667857e+02
23	-7.887389e+02
24	-7.945848e+02
25	-8.096292e+02
26	-8.330544e+02
27	-8.440830e+02
28	-8.584840e+02
29	-8.498994e+02
30	-8.575789e+02
31	-8.583014e+02
32	-8.620714e+02
33	-8.878487e+02
34	-9.039369e+02
35	-9.017080e+02
36	-8.916376e+02
37	-9.194705e+02
38	-8.996408e+02
39	-9.096940e+02
40	-9.097433e+02
41	-9.202606e+02
42	-9.487313e+02
43	-9.293589e+02
44	-9.317278e+02
45	-9.401479e+02
46	-9.534516e+02
47	-9.363396e+02
48	-9.430525e+02
49	-9.366235e+02
50	-9.434493e+02
51	-9.428665e+02
52	-9.323575e+02
53	-9.458796e+02
54	-9.575240e+02
55	-9.240349e+02
56	-9.292575e+02
57	-9.321253e+02
58	-9.223405e+02
59	-9.609503e+02
60	-9.389309e+02
61	-9.431647e+02
62	-9.579557e+02
63	-9.264779e+02
64	-9.507360e+02
65	-9.707521e+02
66	-9.202193e+02
67	-9.629769e+02
68	-9.486929e+02
69	-9.674348e+02
70	-9.520458e+02
71	-9.578415e+02
72	-9.578050e+02
73	-9.764200e+02
74	-9.250035e+02
75	-9.460718e+02
76	-9.525051e+02
77	-9.553149e+02
78	-9.574473e+02
79	-9.573805e+02
80	-9.642257e+02
81	-9.492787e+02
82	-9.325763e+02
83	-9.948741e+02
84	-9.619429e+02
85	-9.463520e+02
86	-9.597105e+02
87	-9.427863e+02
88	-9.594598e+02
89	-9.637880e+02
90	-9.550845e+02
91	-9.381745e+02
92	-9.709054e+02
93	-9.183755e+02
94	-9.546666e+02
95	-9.369784e+02
96	-9.515072e+02
97	-9.501730e+02
98	-9.499073e+02
99	-9.552973e+02
100	-9.429436e+02
101	-9.491213e+02
102	-9.766521e+02
103	-9.574706e+02
104	-9.574244e+02
105	-9.496142e+02
106	-9.544209e+02
107	-9.284987e+02
108	-9.599201e+02
109	-9.602361e+02
110	-9.538817e+02
111	-9.409643e+02
112	-9.494536e+02
113	-9.414166e+02
114	-9.385587e+02
115	-9.384726e+02
116	-9.370364e+02
117	-9.519039e+02
118	-9.682537e+02
119	-9.414647e+02
120	-9.443696e+02
121	-9.559178e+02
122	-9.586364e+02
123	-9.736155e+02
124	-9.675142e+02
125	-9.445137e+02
126	-9.392571e+02
127	-9.670192e+02
128	-9.649277e+02
129	-9.787412e+02
130	-9.407962e+02
131	-9.458020e+02
132	-9.414928e+02
133	-9.408843e+02
134	-9.683963e+02
135	-9.525683e+02
136	-9.602249e+02
137	-9.496133e+02
138	-9.626849e+02
139	-9.427307e+02
140	-9.309854e+02
141	-9.519871e+02
142	-9.497710e+02
143	-9.470327e+02
144	-9.624962e+02
145	-9.830504e+02
146	-9.326113e+02
147	-9.381764e+02
148	-9.329308e+02
149	-9.512029e+02
150	-9.677891e+02
151	-9.648170e+02
152	-9.171823e+02
153	-9.398491e+02
154	-9.662296e+02
155	-9.339474e+02
156	-9.355410e+02
157	-9.476378e+02
158	-9.702991e+02
159	-9.459534e+02
160	-9.180272e+02
161	-9.515832e+02
162	-9.466244e+02
163	-9.495355e+02
164	-9.582777e+02
165	-9.418584e+02
166	-9.464633e+02
167	-9.523888e+02
168	-9.554395e+02
169	-9.462261e+02
170	-9.558616e+02
171	-9.650677e+02
172	-9.731186e+02
173	-9.439139e+02
174	-9.410270e+02
175	-9.421145e+02
176	-9.576433e+02
177	-9.649766e+02
178	-9.293744e+02
179	-9.583116e+02
180	-9.665760e+02
181	-9.565452e+02
182	-9.503161e+02
183	-9.292425e+02
184	-9.467566e+02
185	-9.474455e+02
186	-9.311335e+02
187	-9.535599e+02
188	-9.429563e+02
189	-9.749998e+02
190	-9.551563e+02
191	-9.674596e+02
192	-9.504841e+02
193	-9.490056e+02
194	-9.288191e+02
195	-9.394343e+02
196	-9.429686e+02
197	-9.533553e+02
198	-9.399220e+02
199	-9.595175e+02
200	-9.374859e+02
201	-9.584858e+02
202	-9.297224e+02
203	-9.474379e+02
204	-9.659478e+02
205	-9.373577e+02
206	-9.546451e+02
207	-9.489134e+02
208	-9.492677e+02
209	-9.383572e+02
210	-9.491752e+02
211	-9.376744e+02
212	-9.429782e+02
213	-9.444004e+02
214	-9.341729e+02
215	-9.846101e+02
216	-9.405466e+02
217	-9.732632e+02
218	-9.564259e+02
219	-9.913159e+02
220	-9.407006e+02
221	-9.446978e+02
222	-9.278783e+02
223	-9.680697e+02
224	-9.443105e+02
225	-9.512913e+02
226	-9.515644e+02
227	-9.591116e+02
228	-9.429504e+02
229	-9.601574e+02
230	-9.570225e+02
231	-9.578933e+02
232	-9.571000e+02
233	-9.648353e+02
234	-9.441251e+02
235	-9.546455e+02
236	-9.513408e+02
237	-9.378957e+02
238	-9.491094e+02
239	-9.427336e+02
240	-9.488968e+02
241	-9.619283e+02
242	-9.610021e+02
243	-9.446725e+02
244	-9.610453e+02
245	-9.440113e+02
246	-9.497266e+02
247	-9.616136e+02
248	-9.421423e+02
249	-9.581741e+02
250	-9.423617e+02
251	-9.483109e+02
252	-9.304628e+02
253	-9.514338e+02
254	-9.486893e+02
255	-9.545973e+02
256	-9.333222e+02
257	-9.426850e+02
258	-9.670262e+02
259	-9.427885e+02
260	-9.540912e+02
261	-9.626101e+02
262	-9.480272e+02
263	-9.659806e+02
264	-9.656419e+02
265	-9.589724e+02
266	-9.676151e+02
267	-9.402029e+02
268	-9.436796e+02
269	-9.485916e+02
270	-9.673845e+02
271	-9.683472e+02
272	-9.688073e+02
273	-9.394962e+02
274	-9.420706e+02
275	-9.458138e+02
276	-9.523627e+02
277	-9.632912e+02
278	-9.583425e+02
279	-9.202239e+02
280	-9.500470e+02
281	-9.723841e+02
282	-9.460736e+02
283	-9.426486e+02
284	-9.521600e+02
285	-9.265998e+02
286	-9.671517e+02
287	-9.446875e+02
