i, epoch, loss, l2_err, h1_err
  0     1 -7.75196e+01 9.89683e-01 1.26583e+00
  1     2 -1.50257e+02 9.84677e-01 1.44263e+00
  2     3 -2.18002e+02 9.80021e-01 1.59945e+00
  3     4 -2.79387e+02 9.75849e-01 1.73604e+00
  4     5 -3.40490e+02 9.71573e-01 1.85063e+00
  5     6 -3.99048e+02 9.67019e-01 1.94830e+00
  6     7 -4.53154e+02 9.62160e-01 2.02644e+00
  7     9 -5.52196e+02 9.51786e-01 2.13592e+00
  8    11 -6.35615e+02 9.41050e-01 2.19698e+00
  9    13 -7.15464e+02 9.29837e-01 2.22531e+00
 10    16 -8.14058e+02 9.11897e-01 2.22289e+00
 11    20 -9.11304e+02 8.84024e-01 2.17443e+00
 12    24 -9.80098e+02 8.48528e-01 2.09272e+00
 13    29 -1.04785e+03 7.93375e-01 1.96987e+00
 14    35 -1.07935e+03 7.11926e-01 1.80112e+00
 15    42 -1.10548e+03 5.99202e-01 1.57777e+00
 16    51 -1.11901e+03 4.48239e-01 1.25714e+00
 17    62 -1.11831e+03 2.87902e-01 8.82518e-01
 18    75 -1.14227e+03 1.56173e-01 5.22287e-01
 19    91 -1.12266e+03 6.58733e-02 2.32716e-01
 20   109 -1.14731e+03 1.93400e-02 1.41185e-01
 21   132 -1.13770e+03 4.12108e-03 1.32438e-01
 22   159 -1.13359e+03 4.60988e-03 1.37207e-01
 23   193 -1.13350e+03 4.69155e-03 1.42255e-01
 24   232 -1.13240e+03 4.69713e-03 1.40489e-01
 25   281 -1.13783e+03 4.90102e-03 1.39111e-01
 26   339 -1.14114e+03 3.97559e-03 1.35008e-01
 27   409 -1.10873e+03 4.17961e-03 1.33920e-01
 28   494 -1.11927e+03 4.34183e-03 1.37918e-01
 29   596 -1.14366e+03 4.27922e-03 1.35911e-01
 30   719 -1.12364e+03 3.98656e-03 1.34011e-01
 31   868 -1.11389e+03 3.96542e-03 1.33937e-01
 32  1048 -1.12097e+03 4.00355e-03 1.34388e-01
 33  1264 -1.12732e+03 4.02874e-03 1.34905e-01
 34  1526 -1.13052e+03 3.92660e-03 1.33913e-01
 35  1842 -1.11257e+03 3.94866e-03 1.34056e-01
 36  2222 -1.13200e+03 3.98126e-03 1.34489e-01
 37  2682 -1.12936e+03 3.97024e-03 1.34311e-01
 38  3237 -1.12701e+03 3.96500e-03 1.34238e-01
 39  3906 -1.14596e+03 3.96450e-03 1.34231e-01
 40  4714 -1.14038e+03 3.96471e-03 1.34239e-01
 41  5689 -1.12628e+03 3.96507e-03 1.34240e-01
 42  6866 -1.14831e+03 3.96605e-03 1.34264e-01
 43  8286 -1.11468e+03 3.96622e-03 1.34263e-01
 44 10000 -1.14969e+03 3.96692e-03 1.34270e-01
