n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	284.58	82.27
2	16	16	10000	265.87	88.57
4	30	30	10000	302.72	108.55
6	50	50	10000	374.96	140.52
8	85	85	10000	487.87	192.13
10	129	129	10000	632.54	256.00
12	164	164	10000	743.11	305.30
14	226	226	10000	934.10	409.40
16	279	279	10000	1103.39	486.15
18	349	349	10000	1330.30	575.13
20	451	451	10000	1626.15	724.67
