iteration	energy	residual_norm	L2-error	H1-error
900	-7.335965e+01	3.607891e-04	1.603503e-02	8.535955e-02
910	-7.335965e+01	9.418470e-03	1.598839e-02	8.533198e-02
920	-7.335969e+01	9.225576e-03	1.539651e-02	8.516008e-02
930	-7.335973e+01	7.626600e-05	1.578149e-02	8.557466e-02
940	-7.335973e+01	1.855633e-04	1.598433e-02	8.566372e-02
950	-7.335973e+01	5.628257e-02	1.580031e-02	8.562111e-02
960	-7.335979e+01	2.601601e-02	1.596028e-02	8.545933e-02
970	-7.335980e+01	3.597719e-04	1.601135e-02	8.546979e-02
980	-7.335980e+01	1.311904e-02	1.584129e-02	8.503830e-02
990	-7.335980e+01	5.754187e-05	1.577142e-02	8.488369e-02
1000	-7.335981e+01	4.207909e-03	1.575467e-02	8.486935e-02
1010	-7.335981e+01	1.240262e-02	1.574307e-02	8.485876e-02
1020	-7.335981e+01	2.503452e-03	1.560030e-02	8.469482e-02
1030	-7.335981e+01	5.134464e-05	1.563914e-02	8.470916e-02
1040	-7.335989e+01	2.524184e-03	1.575541e-02	8.577925e-02
1050	-7.335989e+01	4.187682e-02	1.577741e-02	8.581724e-02
1060	-7.335989e+01	1.050585e-04	1.581233e-02	8.588706e-02
1070	-7.335990e+01	9.114143e-04	1.585721e-02	8.593142e-02
1080	-7.335990e+01	3.673884e-04	1.584993e-02	8.593701e-02
1090	-7.335990e+01	4.042393e-03	1.559902e-02	8.582647e-02
1100	-7.335990e+01	9.280152e-04	1.579809e-02	8.595630e-02
1110	-7.336012e+01	3.779081e-01	1.642327e-02	8.786645e-02
1120	-7.336015e+01	3.015063e-02	1.622546e-02	8.809226e-02
1130	-7.336015e+01	1.181031e-02	1.617779e-02	8.805503e-02
1140	-7.336016e+01	4.051101e-04	1.597632e-02	8.761056e-02
1150	-7.336016e+01	1.099757e-03	1.598955e-02	8.764868e-02
1160	-7.336016e+01	2.074615e-03	1.594407e-02	8.762786e-02
1170	-7.336018e+01	7.590074e-04	1.507080e-02	8.719161e-02
1180	-7.336020e+01	3.408997e-04	1.589104e-02	8.741327e-02
1190	-7.336021e+01	6.527958e-02	1.600327e-02	8.762200e-02
1200	-7.336021e+01	9.473069e-04	1.594175e-02	8.763725e-02
1210	-7.336022e+01	2.233327e-03	1.600837e-02	8.812763e-02
