i	epoch	loss	l2_err	h1_err
0	1	-6.36547e+02	8.82961e-01	8.88480e-01
1	2	-1.74213e+02	4.90634e-01	5.40900e-01
2	3	-6.79937e+02	1.15925e-01	2.88317e-01
3	4	-8.94447e+02	5.46217e-01	5.90292e-01
4	5	-6.38525e+02	6.44193e-01	6.75636e-01
5	6	-5.34893e+02	4.47387e-01	5.06302e-01
6	7	-7.30060e+02	1.09194e-01	2.82346e-01
7	8	-8.96293e+02	4.56432e-01	5.07845e-01
8	10	-7.21618e+02	2.84972e-01	3.72334e-01
9	11	-7.08923e+02	2.21953e-01	3.33744e-01
10	13	-8.98069e+02	2.39091e-01	3.41559e-01
11	15	-7.92891e+02	2.70601e-01	3.52112e-01
12	17	-8.56628e+02	2.10409e-01	3.15067e-01
13	19	-8.84967e+02	1.60922e-01	2.72454e-01
14	22	-8.77569e+02	1.38239e-01	2.58682e-01
15	25	-8.71462e+02	4.44697e-02	2.08688e-01
16	29	-9.07788e+02	3.94799e-02	1.90133e-01
17	33	-9.09722e+02	4.82575e-02	1.70795e-01
18	38	-9.09417e+02	3.35622e-02	1.33637e-01
19	44	-9.05493e+02	2.20021e-02	1.00219e-01
20	50	-9.05449e+02	1.41094e-02	6.86038e-02
21	58	-9.04791e+02	8.61181e-03	4.54979e-02
22	66	-9.07390e+02	6.59026e-03	3.81090e-02
23	76	-9.08844e+02	6.10699e-03	3.71859e-02
24	87	-9.03624e+02	5.59708e-03	3.57099e-02
25	100	-9.12700e+02	5.33871e-03	3.42939e-02
26	114	-9.07594e+02	4.89515e-03	3.23894e-02
27	131	-9.10460e+02	4.99894e-03	3.11518e-02
28	150	-9.08041e+02	4.39396e-03	2.96222e-02
29	172	-9.06941e+02	4.20748e-03	2.90014e-02
30	197	-9.11095e+02	4.16659e-03	2.82294e-02
