i	epoch	loss	l2_err	h1_err
0	1	-9.05047e+02	6.81450e-01	7.04915e-01
1	2	-4.74774e+02	7.26879e-01	7.44695e-01
2	3	-4.17674e+02	4.50770e-01	5.05570e-01
3	4	-7.12932e+02	7.89732e-02	2.71344e-01
4	5	-9.00142e+02	3.03504e-01	3.93528e-01
5	6	-8.29125e+02	5.06840e-01	5.55149e-01
6	7	-6.78389e+02	5.24365e-01	5.69926e-01
7	8	-6.60965e+02	1.73992e-01	3.06577e-01
8	9	-7.74230e+02	2.78641e-01	3.63659e-01
9	11	-9.02508e+02	3.59690e-01	4.22280e-01
10	12	-8.42471e+02	1.00398e-01	2.62205e-01
11	14	-7.83401e+02	1.97757e-01	3.07075e-01
12	17	-9.03445e+02	2.08704e-01	2.99915e-01
13	20	-8.46632e+02	1.35553e-01	2.58720e-01
14	23	-9.05080e+02	1.08904e-01	2.25997e-01
15	27	-8.96572e+02	9.37892e-02	2.15553e-01
16	31	-8.84537e+02	5.34839e-02	1.78538e-01
17	36	-8.92381e+02	4.08258e-02	1.46870e-01
18	42	-8.97303e+02	2.24529e-02	1.08859e-01
19	49	-9.06555e+02	1.63627e-02	7.60142e-02
20	57	-9.10294e+02	1.01740e-02	5.08645e-02
21	67	-9.03535e+02	6.54457e-03	3.71209e-02
22	77	-9.09663e+02	5.22257e-03	3.33814e-02
23	90	-9.05063e+02	4.89016e-03	3.25647e-02
24	105	-9.10987e+02	4.92726e-03	3.17353e-02
25	122	-9.11532e+02	4.72826e-03	3.10024e-02
26	142	-9.13965e+02	4.50733e-03	2.98937e-02
27	165	-9.12126e+02	4.46113e-03	2.99730e-02
28	192	-9.11563e+02	4.18650e-03	2.89281e-02
29	223	-9.12661e+02	4.24834e-03	2.86590e-02
30	259	-9.12152e+02	4.10443e-03	2.84337e-02
31	301	-9.09661e+02	4.06009e-03	2.82398e-02
32	350	-9.13254e+02	3.90277e-03	2.73425e-02
33	406	-9.12452e+02	3.95093e-03	2.73656e-02
34	472	-9.17375e+02	3.86771e-03	2.70593e-02
