i	epoch	loss	l2_err	h1_err
0	1	-6.94232e+02	5.74228e-02	2.76093e-01
1	2	-9.03342e+02	3.61213e-01	4.38947e-01
2	3	-7.84158e+02	5.51879e-01	5.93364e-01
3	4	-6.21054e+02	5.73628e-01	6.10460e-01
4	5	-6.17405e+02	4.80860e-01	5.29912e-01
5	6	-6.90580e+02	3.20467e-01	4.01363e-01
6	7	-8.07940e+02	1.34472e-01	2.87887e-01
7	8	-8.92438e+02	2.32985e-01	3.39955e-01
8	9	-9.07416e+02	3.79844e-01	4.45766e-01
9	11	-8.07490e+02	2.99056e-01	3.82884e-01
10	13	-7.90981e+02	6.53675e-02	2.53779e-01
11	14	-8.31247e+02	2.33741e-01	3.27100e-01
12	17	-9.01454e+02	6.38695e-02	2.39832e-01
13	19	-8.69642e+02	1.36999e-01	2.59055e-01
14	22	-8.88170e+02	1.17306e-01	2.31378e-01
15	25	-9.08327e+02	9.12101e-02	2.07187e-01
16	29	-8.84188e+02	5.01639e-02	1.64427e-01
17	33	-9.12332e+02	3.47560e-02	1.30647e-01
18	38	-9.03515e+02	2.28317e-02	9.66105e-02
19	44	-9.09129e+02	1.48141e-02	6.63375e-02
20	50	-9.12812e+02	9.23344e-03	4.62923e-02
21	57	-9.10067e+02	6.10876e-03	3.50232e-02
22	66	-9.14460e+02	4.86448e-03	3.19256e-02
23	75	-9.06449e+02	4.47151e-03	3.01778e-02
24	86	-9.07023e+02	4.35201e-03	2.97042e-02
25	99	-9.10913e+02	4.13027e-03	2.90726e-02
26	113	-9.12950e+02	4.09976e-03	2.83105e-02
27	130	-9.10418e+02	4.09071e-03	2.78589e-02
28	149	-9.12330e+02	3.90192e-03	2.76705e-02
29	170	-9.08916e+02	3.86347e-03	2.75331e-02
30	195	-9.07928e+02	3.88201e-03	2.68698e-02
