iteration	loss
0	0.000000e+00
1	-7.540411e+01
2	-1.462472e+02
3	-2.140958e+02
4	-2.721254e+02
5	-3.328735e+02
6	-3.905543e+02
7	-4.417587e+02
8	-4.920934e+02
9	-5.400768e+02
10	-5.842103e+02
11	-6.339777e+02
12	-6.759061e+02
13	-7.060144e+02
14	-7.419125e+02
15	-7.720217e+02
16	-8.111230e+02
17	-8.315324e+02
18	-8.642314e+02
19	-8.964069e+02
20	-9.180835e+02
21	-9.234491e+02
22	-9.638308e+02
23	-9.638047e+02
24	-9.850872e+02
25	-9.940352e+02
26	-1.021676e+03
27	-1.022232e+03
28	-1.028132e+03
29	-1.032575e+03
30	-1.052116e+03
31	-1.060364e+03
32	-1.058834e+03
33	-1.081744e+03
34	-1.069281e+03
35	-1.072258e+03
36	-1.089554e+03
37	-1.084875e+03
38	-1.111269e+03
39	-1.113317e+03
40	-1.108505e+03
41	-1.108029e+03
42	-1.108675e+03
43	-1.139257e+03
44	-1.107310e+03
45	-1.135559e+03
46	-1.116889e+03
47	-1.112838e+03
48	-1.118843e+03
49	-1.119926e+03
50	-1.115298e+03
51	-1.111265e+03
52	-1.116741e+03
53	-1.122096e+03
54	-1.104736e+03
55	-1.124873e+03
56	-1.096085e+03
57	-1.117563e+03
58	-1.112689e+03
59	-1.124680e+03
60	-1.139274e+03
61	-1.129317e+03
62	-1.133614e+03
63	-1.119810e+03
64	-1.125312e+03
65	-1.125868e+03
66	-1.134287e+03
67	-1.117258e+03
68	-1.145233e+03
69	-1.136602e+03
70	-1.135162e+03
71	-1.134432e+03
72	-1.120246e+03
73	-1.104887e+03
74	-1.133987e+03
75	-1.119718e+03
76	-1.127034e+03
77	-1.140613e+03
78	-1.120608e+03
79	-1.128009e+03
80	-1.134664e+03
81	-1.119530e+03
82	-1.118994e+03
83	-1.131753e+03
84	-1.142304e+03
85	-1.116116e+03
86	-1.118287e+03
87	-1.123824e+03
88	-1.105334e+03
89	-1.125004e+03
90	-1.109660e+03
91	-1.125429e+03
92	-1.129867e+03
93	-1.139162e+03
94	-1.121922e+03
95	-1.133726e+03
96	-1.126913e+03
97	-1.108197e+03
98	-1.124364e+03
99	-1.129524e+03
100	-1.122370e+03
101	-1.118748e+03
102	-1.131693e+03
103	-1.127204e+03
104	-1.136364e+03
105	-1.125217e+03
106	-1.129517e+03
107	-1.131939e+03
108	-1.147732e+03
109	-1.116828e+03
110	-1.136984e+03
111	-1.138966e+03
112	-1.132258e+03
113	-1.140250e+03
114	-1.129767e+03
115	-1.119041e+03
116	-1.127791e+03
117	-1.125919e+03
118	-1.139922e+03
119	-1.146580e+03
120	-1.147493e+03
121	-1.119695e+03
122	-1.133338e+03
123	-1.137703e+03
124	-1.112113e+03
125	-1.130986e+03
126	-1.116169e+03
127	-1.117986e+03
128	-1.141097e+03
129	-1.129867e+03
130	-1.137462e+03
131	-1.136369e+03
132	-1.115402e+03
133	-1.123123e+03
134	-1.121923e+03
135	-1.134061e+03
136	-1.119372e+03
137	-1.130666e+03
138	-1.127330e+03
139	-1.140070e+03
140	-1.138215e+03
141	-1.121888e+03
142	-1.140932e+03
143	-1.109356e+03
144	-1.122754e+03
145	-1.131040e+03
146	-1.134171e+03
147	-1.141296e+03
148	-1.112751e+03
149	-1.120180e+03
150	-1.127777e+03
151	-1.131350e+03
152	-1.120893e+03
153	-1.126374e+03
154	-1.117345e+03
155	-1.130730e+03
156	-1.107001e+03
157	-1.115061e+03
158	-1.151283e+03
159	-1.114699e+03
160	-1.128917e+03
161	-1.123522e+03
162	-1.126606e+03
163	-1.133354e+03
164	-1.139278e+03
165	-1.130391e+03
166	-1.118877e+03
167	-1.128145e+03
168	-1.109918e+03
169	-1.127795e+03
170	-1.114022e+03
171	-1.120286e+03
172	-1.108142e+03
173	-1.131081e+03
174	-1.115487e+03
175	-1.125204e+03
176	-1.127943e+03
177	-1.156240e+03
178	-1.122260e+03
179	-1.116631e+03
180	-1.146642e+03
181	-1.118927e+03
182	-1.141068e+03
183	-1.154748e+03
184	-1.132005e+03
185	-1.120143e+03
186	-1.143151e+03
187	-1.124023e+03
188	-1.142161e+03
189	-1.125347e+03
190	-1.133616e+03
191	-1.138467e+03
192	-1.108714e+03
193	-1.126710e+03
194	-1.145662e+03
195	-1.129723e+03
196	-1.116649e+03
197	-1.142903e+03
198	-1.145920e+03
199	-1.120350e+03
200	-1.143327e+03
201	-1.140815e+03
202	-1.121209e+03
203	-1.133628e+03
204	-1.128587e+03
205	-1.115811e+03
206	-1.129743e+03
207	-1.138623e+03
208	-1.138923e+03
209	-1.140655e+03
210	-1.149256e+03
211	-1.126035e+03
212	-1.125983e+03
213	-1.132459e+03
214	-1.123423e+03
215	-1.131091e+03
216	-1.131162e+03
217	-1.128951e+03
218	-1.138919e+03
219	-1.119333e+03
220	-1.120797e+03
221	-1.105424e+03
222	-1.122883e+03
223	-1.124472e+03
224	-1.138964e+03
225	-1.136376e+03
226	-1.111580e+03
227	-1.142026e+03
228	-1.129358e+03
229	-1.117920e+03
230	-1.129463e+03
231	-1.142549e+03
232	-1.130613e+03
233	-1.112395e+03
234	-1.121360e+03
235	-1.125318e+03
236	-1.126007e+03
237	-1.116562e+03
238	-1.134546e+03
239	-1.154085e+03
240	-1.146499e+03
241	-1.135767e+03
242	-1.110067e+03
243	-1.146871e+03
244	-1.134689e+03
245	-1.123964e+03
246	-1.129126e+03
247	-1.140896e+03
248	-1.123170e+03
249	-1.121834e+03
250	-1.123908e+03
251	-1.111554e+03
252	-1.118079e+03
253	-1.121742e+03
254	-1.123812e+03
255	-1.136093e+03
256	-1.132230e+03
257	-1.130120e+03
258	-1.127714e+03
259	-1.138576e+03
260	-1.125837e+03
261	-1.122806e+03
262	-1.132644e+03
263	-1.139721e+03
264	-1.126660e+03
265	-1.134875e+03
266	-1.109461e+03
267	-1.121105e+03
268	-1.134449e+03
269	-1.121045e+03
270	-1.130957e+03
271	-1.142578e+03
272	-1.128177e+03
273	-1.108334e+03
274	-1.117308e+03
275	-1.123511e+03
276	-1.135179e+03
277	-1.139992e+03
278	-1.128174e+03
279	-1.118665e+03
280	-1.134811e+03
281	-1.139127e+03
282	-1.131724e+03
283	-1.111537e+03
284	-1.133109e+03
285	-1.144498e+03
286	-1.149498e+03
287	-1.137622e+03
288	-1.107813e+03
289	-1.123281e+03
290	-1.137639e+03
291	-1.125655e+03
292	-1.124755e+03
293	-1.120681e+03
294	-1.132667e+03
295	-1.110405e+03
296	-1.112657e+03
297	-1.130814e+03
298	-1.131060e+03
299	-1.129933e+03
300	-1.130830e+03
301	-1.139381e+03
302	-1.133023e+03
303	-1.133258e+03
304	-1.126079e+03
305	-1.122814e+03
306	-1.137427e+03
307	-1.119721e+03
308	-1.147416e+03
309	-1.134480e+03
310	-1.151062e+03
311	-1.134448e+03
312	-1.137996e+03
313	-1.140937e+03
314	-1.123648e+03
315	-1.135494e+03
316	-1.129823e+03
317	-1.120249e+03
318	-1.148292e+03
319	-1.106280e+03
320	-1.151381e+03
321	-1.121710e+03
322	-1.120807e+03
323	-1.119590e+03
324	-1.133602e+03
325	-1.139307e+03
326	-1.135307e+03
327	-1.106097e+03
328	-1.111940e+03
329	-1.121890e+03
330	-1.132078e+03
331	-1.113899e+03
332	-1.122882e+03
333	-1.116174e+03
334	-1.127716e+03
