i, epoch, loss, l2_err, h1_err
  0     1 -7.48734e+01 9.89015e-01 1.16987e+00
  1     2 -1.46585e+02 9.84089e-01 1.27506e+00
  2     3 -2.12911e+02 9.79946e-01 1.37836e+00
  3     4 -2.74228e+02 9.76251e-01 1.47116e+00
  4     5 -3.34876e+02 9.72491e-01 1.55263e+00
  5     6 -3.93924e+02 9.68464e-01 1.62446e+00
  6     7 -4.48251e+02 9.64086e-01 1.68373e+00
  7     9 -5.48652e+02 9.54083e-01 1.77043e+00
  8    11 -6.33766e+02 9.41936e-01 1.82400e+00
  9    13 -7.15256e+02 9.27271e-01 1.85338e+00
 10    16 -8.15909e+02 8.99520e-01 1.85958e+00
 11    20 -9.14877e+02 8.52052e-01 1.82380e+00
 12    24 -9.85078e+02 7.92911e-01 1.74903e+00
 13    29 -1.05397e+03 7.04917e-01 1.61546e+00
 14    35 -1.08594e+03 5.85055e-01 1.41115e+00
 15    42 -1.11181e+03 4.41985e-01 1.14732e+00
 16    51 -1.12373e+03 2.76340e-01 8.14133e-01
 17    62 -1.12097e+03 1.27590e-01 4.91225e-01
 18    75 -1.14328e+03 3.29766e-02 2.43259e-01
 19    91 -1.12287e+03 9.43983e-03 1.46181e-01
 20   109 -1.14732e+03 1.16095e-02 1.49835e-01
 21   132 -1.13770e+03 5.14455e-03 1.37212e-01
 22   159 -1.13359e+03 4.26558e-03 1.39625e-01
 23   193 -1.13349e+03 4.76045e-03 1.46661e-01
 24   232 -1.13240e+03 4.71216e-03 1.44985e-01
 25   281 -1.13782e+03 5.05936e-03 1.44003e-01
 26   339 -1.14113e+03 4.05123e-03 1.38467e-01
 27   409 -1.10873e+03 4.34182e-03 1.39183e-01
 28   494 -1.11926e+03 4.48173e-03 1.41112e-01
 29   596 -1.14365e+03 4.51043e-03 1.40883e-01
 30   719 -1.12364e+03 4.06249e-03 1.37838e-01
 31   868 -1.11388e+03 4.07664e-03 1.37918e-01
 32  1048 -1.12096e+03 4.09625e-03 1.38560e-01
 33  1264 -1.12731e+03 4.10066e-03 1.38959e-01
 34  1526 -1.13051e+03 4.00514e-03 1.37956e-01
 35  1842 -1.11257e+03 4.04618e-03 1.38219e-01
 36  2222 -1.13199e+03 4.07999e-03 1.38662e-01
 37  2682 -1.12935e+03 4.07008e-03 1.38486e-01
 38  3237 -1.12701e+03 4.06519e-03 1.38421e-01
 39  3906 -1.14595e+03 4.06475e-03 1.38414e-01
 40  4714 -1.14038e+03 4.06485e-03 1.38419e-01
 41  5689 -1.12628e+03 4.06516e-03 1.38418e-01
 42  6866 -1.14831e+03 4.06581e-03 1.38435e-01
 43  8286 -1.11468e+03 4.06593e-03 1.38434e-01
 44 10000 -1.14968e+03 4.06635e-03 1.38438e-01
