n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	12	12	10000	453.62	91.00
2	16	16	10000	452.41	109.50
4	30	30	10000	452.28	180.66
6	50	50	10000	455.91	277.91
8	85	85	10000	453.95	428.73
10	129	129	10000	454.42	641.82
12	164	164	10000	455.54	868.25
14	226	226	10000	455.89	1081.31
16	279	279	10000	455.43	1326.69
18	349	349	10000	463.26	1661.27
20	451	451	10000	479.24	2123.35
