i	epoch	loss	l2_err	h1_err
0	1	-6.33209e+02	8.88848e-01	8.95513e-01
1	2	-1.78232e+02	4.98229e-01	5.49734e-01
2	3	-6.85061e+02	1.14760e-01	2.93359e-01
3	4	-8.92667e+02	5.55244e-01	5.99720e-01
4	5	-6.33113e+02	6.51598e-01	6.83169e-01
5	6	-5.25487e+02	4.46736e-01	5.08413e-01
6	7	-7.29277e+02	1.00263e-01	2.87007e-01
7	8	-8.98106e+02	4.67773e-01	5.24107e-01
8	9	-8.32024e+02	2.69425e-01	3.72513e-01
9	11	-7.18250e+02	2.56777e-01	3.67411e-01
10	12	-8.35849e+02	2.08947e-01	3.37721e-01
11	14	-8.47784e+02	2.64298e-01	3.69743e-01
12	16	-8.00857e+02	2.44168e-01	3.59165e-01
13	19	-8.63767e+02	1.86135e-01	3.22868e-01
14	22	-8.88784e+02	9.89996e-02	2.87011e-01
15	25	-8.58324e+02	1.14540e-01	2.91355e-01
16	29	-8.88867e+02	9.03713e-02	2.83514e-01
17	34	-8.90688e+02	5.99651e-02	2.76733e-01
18	39	-8.94925e+02	6.18281e-02	2.78375e-01
19	45	-9.03680e+02	5.70223e-02	2.75046e-01
20	51	-9.03810e+02	5.70689e-02	2.76722e-01
21	59	-9.02182e+02	5.66176e-02	2.75806e-01
22	68	-9.02421e+02	5.69606e-02	2.74699e-01
23	79	-9.01842e+02	5.58888e-02	2.74800e-01
24	91	-9.01933e+02	5.62727e-02	2.74988e-01
25	105	-9.06253e+02	5.66455e-02	2.75757e-01
26	121	-9.06263e+02	5.61318e-02	2.76352e-01
27	139	-9.01749e+02	5.61168e-02	2.77255e-01
28	160	-9.02755e+02	5.66954e-02	2.75757e-01
29	184	-9.04446e+02	5.63450e-02	2.77142e-01
30	212	-9.05165e+02	5.68619e-02	2.75715e-01
31	245	-9.07713e+02	5.59455e-02	2.75140e-01
