i	epoch	loss	l2_err	h1_err
0	1	-6.94232e+02	5.80127e-02	2.76076e-01
1	2	-9.03323e+02	3.56860e-01	4.36056e-01
2	3	-7.87214e+02	5.50551e-01	5.93528e-01
3	4	-6.22397e+02	5.77647e-01	6.16457e-01
4	5	-6.13174e+02	4.90341e-01	5.42205e-01
5	6	-6.81587e+02	3.34111e-01	4.18956e-01
6	7	-7.99079e+02	1.49361e-01	3.06916e-01
7	8	-8.88202e+02	2.26126e-01	3.47630e-01
8	9	-9.08567e+02	3.83722e-01	4.57890e-01
9	11	-8.08515e+02	3.04293e-01	3.98927e-01
10	13	-7.87568e+02	7.07314e-02	2.78752e-01
11	14	-8.28821e+02	2.36346e-01	3.53440e-01
12	17	-9.00265e+02	7.52032e-02	2.81889e-01
13	19	-8.67020e+02	1.38544e-01	3.02575e-01
14	22	-8.87400e+02	1.22453e-01	2.93901e-01
15	25	-9.06825e+02	1.05583e-01	2.88582e-01
16	29	-8.82793e+02	6.00224e-02	2.76258e-01
17	33	-9.09804e+02	6.10843e-02	2.76569e-01
18	38	-9.03069e+02	5.66275e-02	2.75399e-01
19	44	-9.07735e+02	5.74936e-02	2.75591e-01
20	50	-9.10610e+02	5.67425e-02	2.75121e-01
21	57	-9.06762e+02	5.66436e-02	2.74226e-01
22	66	-9.12142e+02	5.56914e-02	2.75312e-01
23	75	-9.02429e+02	5.66334e-02	2.75548e-01
24	86	-9.03239e+02	5.69247e-02	2.75935e-01
25	99	-9.07162e+02	5.64660e-02	2.75585e-01
26	113	-9.09281e+02	5.64935e-02	2.75443e-01
27	130	-9.06061e+02	5.64502e-02	2.74425e-01
28	149	-9.08467e+02	5.60248e-02	2.74716e-01
29	170	-9.04899e+02	5.69485e-02	2.75281e-01
30	195	-9.03768e+02	5.64214e-02	2.75027e-01
