i	epoch	loss	l2_err	h1_err
0	1	-9.05047e+02	6.85032e-01	7.10260e-01
1	2	-4.69941e+02	7.32180e-01	7.52397e-01
2	3	-4.10007e+02	4.55874e-01	5.14682e-01
3	4	-7.08090e+02	8.09602e-02	2.80470e-01
4	5	-8.99683e+02	3.09485e-01	4.02793e-01
5	6	-8.25950e+02	5.16186e-01	5.66045e-01
6	7	-6.70057e+02	5.29062e-01	5.77120e-01
7	8	-6.56949e+02	1.58735e-01	3.10244e-01
8	10	-8.88330e+02	3.00601e-01	3.93776e-01
9	11	-8.97790e+02	3.58146e-01	4.37469e-01
10	13	-7.75404e+02	1.35204e-01	2.99742e-01
11	15	-8.46027e+02	1.70592e-01	3.16466e-01
12	18	-8.50832e+02	2.21031e-01	3.44135e-01
13	21	-8.85290e+02	1.75090e-01	3.19184e-01
14	24	-8.69046e+02	1.31781e-01	2.96356e-01
15	28	-9.02356e+02	7.40324e-02	2.80304e-01
16	33	-9.12610e+02	8.20302e-02	2.81788e-01
17	38	-9.00715e+02	5.69835e-02	2.74799e-01
18	44	-9.06868e+02	5.71450e-02	2.75982e-01
19	51	-9.10804e+02	5.66410e-02	2.76267e-01
20	59	-9.01770e+02	5.63184e-02	2.76795e-01
21	68	-9.08168e+02	5.68458e-02	2.76496e-01
22	79	-9.12891e+02	5.64420e-02	2.75563e-01
23	91	-9.06140e+02	5.62933e-02	2.74776e-01
24	106	-9.09047e+02	5.55554e-02	2.76032e-01
25	122	-9.08025e+02	5.64521e-02	2.74991e-01
26	142	-9.10321e+02	5.65886e-02	2.74828e-01
27	164	-9.03877e+02	5.64339e-02	2.75608e-01
28	190	-9.08694e+02	5.61297e-02	2.75766e-01
29	220	-9.15680e+02	5.66985e-02	2.75288e-01
30	254	-9.06136e+02	5.72495e-02	2.76296e-01
31	295	-9.06510e+02	5.58651e-02	2.76402e-01
32	341	-9.06390e+02	5.65944e-02	2.73622e-01
33	394	-9.03174e+02	5.66981e-02	2.76045e-01
