n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb	n_seeds	L2_min	L2_max	L2_err_minus	L2_err_plus	H1_min	H1_max	H1_err_minus	H1_err_plus
1	0.5	12	0.0552289	0.240901	414.2200	77.26	3	0.0552021	0.0552306	2.68e-05	1.7e-06	0.2409	0.240914	1e-06	1.3e-05
2	0.3333333333333333	16	0.0562486	0.253141	412.9600	90.43	3	0.0562425	0.056268	6.1e-06	1.94e-05	0.253129	0.253145	1.2e-05	4e-06
4	0.2	30	0.0335727	0.209727	413.1500	142.40	3	0.033556	0.0336146	1.67e-05	4.19e-05	0.209724	0.209805	3e-06	7.8e-05
6	0.14285714285714285	50	0.0187718	0.173688	416.9800	215.52	3	0.0187216	0.018785	5.02e-05	1.32e-05	0.173578	0.173694	0.00011	5.99999999998e-06
8	0.1111111111111111	85	0.0129673	0.164884	415.4500	327.40	3	0.0129426	0.0130512	2.47e-05	8.39e-05	0.164815	0.165287	6.9e-05	0.000403
10	0.09090909090909091	129	0.00665052	0.134009	415.0800	485.67	3	0.00660761	0.00668697	4.291e-05	3.645e-05	0.133879	0.13401	0.00013	1e-06
12	0.07692307692307693	164	0.00520936	0.127345	418.3000	672.75	3	0.00516773	0.00522494	4.163e-05	1.558e-05	0.127221	0.127366	0.000124	2.1e-05
14	0.06666666666666667	226	0.00423996	0.123931	418.0900	811.90	3	0.00420889	0.00426533	3.107e-05	2.537e-05	0.12374	0.123982	0.000191	5.1e-05
16	0.058823529411764705	279	0.00348243	0.118347	417.0500	994.10	3	0.00346075	0.00350224	2.168e-05	1.981e-05	0.118263	0.118583	8.4e-05	0.000236
18	0.05263157894736842	349	0.00297636	0.111571	422.1400	1242.63	3	0.00294683	0.0029887	2.953e-05	1.234e-05	0.111542	0.111708	2.9e-05	0.000137
20	0.047619047619047616	451	0.00218455	0.106469	432.4800	1585.72	3	0.00217417	0.00219509	1.038e-05	1.054e-05	0.1064	0.106718	6.9e-05	0.000249
