n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.08084397012779555	0.28608241614966395	0.0022	0.00
2	0.3333333333333333	16	0.08535823580541278	0.31135784265551814	0.0013	0.00
4	0.2	30	0.07103352798504033	0.3037630392191201	0.0012	0.00
6	0.14285714285714285	50	0.037882605326454925	0.23973788530797974	0.0084	0.00
8	0.1111111111111111	85	0.018852236989457913	0.21388156887655937	0.0046	0.00
10	0.09090909090909091	129	0.01650868287671922	0.19732695208123657	0.0052	0.00
12	0.07692307692307693	164	0.013648738466593983	0.18888425445646273	0.0082	0.00
14	0.06666666666666667	226	0.00885546955057818	0.18738046768817804	0.0090	0.00
16	0.058823529411764705	279	0.007745907277277448	0.18288580809861874	0.0127	0.00
18	0.05263157894736842	349	0.00779720593213705	0.1630385886713484	0.0372	0.00
20	0.047619047619047616	451	0.005560483803562391	0.17207386630507618	0.0171	0.00
