n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.08001980012824991	0.28235084214893513	0.0010	0.00
2	0.3333333333333333	16	0.0768752898957073	0.29369370476120354	0.0014	0.00
4	0.2	30	0.061321386979151106	0.27046783740582286	0.0010	0.00
6	0.14285714285714285	50	0.033278516248130156	0.2168624349361359	0.0041	0.00
8	0.1111111111111111	85	0.015809467907389036	0.18727851290797784	0.0142	0.00
10	0.09090909090909091	129	0.014743733882514192	0.1793545454124204	0.0034	0.00
12	0.07692307692307693	164	0.012243524415377842	0.17223584446385384	0.0049	0.00
14	0.06666666666666667	226	0.007338636034053102	0.16182746184036412	0.0070	0.00
16	0.058823529411764705	279	0.006413064285676724	0.1577124448166061	0.0120	0.00
18	0.05263157894736842	349	0.007239248097664202	0.15278479623879423	0.0061	0.00
20	0.047619047619047616	451	0.004600293792470429	0.14804600415045963	0.0332	0.00
