n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.0825839370149963	0.15626258790435155	0.0023	0.00
2	0.3333333333333333	16	0.026498992718590512	0.07260301225945101	0.0018	0.00
4	0.2	36	0.004222820697762315	0.019945610350575852	0.0006	0.00
6	0.14285714285714285	64	0.0012275561597902527	0.008240837336444685	0.0032	0.00
8	0.1111111111111111	100	0.00048175209003168383	0.004188899540932875	0.0046	0.00
10	0.09090909090909091	144	0.00022634752398661252	0.00241461871069195	0.0050	0.00
12	0.07692307692307693	196	0.00012003378144622408	0.0015160297121537805	0.0068	0.00
14	0.06666666666666667	256	6.946514444812403e-05	0.0010128621567261353	0.0050	0.00
16	0.058823529411764705	324	4.294794875455066e-05	0.0007094745598163683	0.0840	0.00
18	0.05263157894736842	400	2.79654158366449e-05	0.0005158223655119726	0.0220	0.00
20	0.047619047619047616	484	1.8985288603701557e-05	0.0003864883326031318	0.1230	0.00
