n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.10598466004220623	0.1918648767945082	0.0004	64.01
2	0.3333333333333333	16	0.04043133468015558	0.10731914206902275	0.0003	64.02
4	0.2	36	0.010057012679841496	0.04427020988789997	0.0005	64.06
6	0.14285714285714285	64	0.003930047028997242	0.023833583534247135	0.0005	64.16
8	0.1111111111111111	100	0.0019248659102838004	0.014717397437954718	0.0006	64.39
10	0.09090909090909091	144	0.0010815635060668009	0.009895193315726422	0.0009	64.80
12	0.07692307692307693	196	0.0006667187599762499	0.007051974420658273	0.0013	65.48
14	0.06666666666666667	256	0.0004393637666145724	0.005244010268650567	0.0016	66.51
16	0.058823529411764705	324	0.00030449514816642217	0.004028428717618335	0.0023	68.02
18	0.05263157894736842	400	0.0002194921357474048	0.0031754457495234037	0.0034	70.12
20	0.047619047619047616	484	0.00016328984143624875	0.0025558401324781116	0.0051	72.96
