n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb	n_seeds	L2_min	L2_max	L2_err_minus	L2_err_plus	H1_min	H1_max	H1_err_minus	H1_err_plus
1	0.5	9	0.0894642	0.264988	372.1800	52.40	3	0.0894175	0.0894675	4.67e-05	3.30000000001e-06	0.264973	0.264999	1.5e-05	1.1e-05
2	0.3333333333333333	16	0.0436832	0.18008	331.8500	68.60	3	0.0436313	0.043686	5.19e-05	2.8e-06	0.18007	0.180084	9.99999999998e-06	4e-06
4	0.2	36	0.0155921	0.113606	334.6800	117.79	3	0.0155816	0.0156062	1.05e-05	1.41e-05	0.113595	0.11361	1.1e-05	4e-06
6	0.14285714285714285	64	0.00748115	0.084235	336.8200	193.51	3	0.00743564	0.00749152	4.551e-05	1.037e-05	0.0842136	0.0842543	2.14e-05	1.93e-05
8	0.1111111111111111	100	0.00415176	0.0675196	337.3500	284.76	3	0.00412931	0.00423443	2.245e-05	8.267e-05	0.0674642	0.0675721	5.54e-05	5.25e-05
10	0.09090909090909091	144	0.00253968	0.0566845	336.2200	477.19	3	0.00252545	0.00254447	1.423e-05	4.79e-06	0.0566612	0.0567209	2.33e-05	3.64e-05
12	0.07692307692307693	196	0.00172996	0.0492382	336.4700	638.83	3	0.00171352	0.0017429	1.644e-05	1.294e-05	0.049193	0.0492392	4.52e-05	9.99999999994e-07
14	0.06666666666666667	256	0.00129185	0.0437945	337.2100	827.76	3	0.00128615	0.00130266	5.7e-06	1.081e-05	0.0437439	0.0438404	5.06e-05	4.59e-05
16	0.058823529411764705	324	0.00109668	0.0396904	339.2700	973.09	3	0.00107856	0.00110976	1.812e-05	1.308e-05	0.0396232	0.0397092	6.72e-05	1.88e-05
18	0.05263157894736842	400	0.000996257	0.0365406	342.2600	1135.17	3	0.000990111	0.0010589	6.146e-06	6.2643e-05	0.0364726	0.0366187	6.8e-05	7.81e-05
20	0.047619047619047616	484	0.000944151	0.0341379	346.7800	1367.45	3	0.000939187	0.000968449	4.964e-06	2.4298e-05	0.0339609	0.0341669	0.000177	2.9e-05
