n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	9	0.129211	0.359244	388.9100	70.30
2	0.3333333333333333	16	0.0558929	0.238286	388.1600	102.36
4	0.2	36	0.0178409	0.130957	391.6200	196.81
6	0.14285714285714285	64	0.00735818	0.0798751	393.5800	325.11
8	0.1111111111111111	100	0.00359361	0.0536814	396.2800	490.97
10	0.09090909090909091	144	0.00195633	0.0386983	395.9000	758.71
12	0.07692307692307693	196	0.00120215	0.0296327	395.9600	1022.01
14	0.06666666666666667	256	0.000829103	0.0239207	395.3400	1329.96
16	0.058823529411764705	324	0.000626913	0.0199184	400.3600	1608.54
18	0.05263157894736842	400	0.000572926	0.0172287	410.5100	1917.18
20	0.047619047619047616	484	0.000492394	0.0155364	419.6700	2313.68
