n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	9	0.126265	0.371323	421.6500	59.70
2	0.3333333333333333	16	0.058953	0.249861	377.3700	81.57
4	0.2	36	0.0215051	0.159048	379.7200	147.51
6	0.14285714285714285	64	0.0103608	0.11822	380.8100	245.39
8	0.1111111111111111	100	0.00582792	0.0948578	383.6200	366.05
10	0.09090909090909091	144	0.00351412	0.0796615	383.4100	593.91
12	0.07692307692307693	196	0.00240286	0.0691737	383.8900	797.71
14	0.06666666666666667	256	0.00179454	0.0615547	383.4100	1035.96
16	0.058823529411764705	324	0.00149112	0.0556644	386.0800	1236.54
18	0.05263157894736842	400	0.00136383	0.0512179	388.3900	1459.42
20	0.047619047619047616	484	0.00129527	0.0476988	397.6500	1759.79
