i, epoch, loss, l2_err, h1_err
  0     1 -9.89845e+00 9.21005e-01 1.04456e+00
  1     2 -1.89542e+01 8.82259e-01 1.08466e+00
  2     3 -2.60169e+01 8.41921e-01 1.09849e+00
  3     4 -3.16959e+01 8.01001e-01 1.09947e+00
  4     5 -3.78201e+01 7.59791e-01 1.09007e+00
  5     6 -4.55091e+01 7.18634e-01 1.07198e+00
  6     7 -4.81904e+01 6.78126e-01 1.04886e+00
  7     9 -5.57807e+01 6.00229e-01 9.94786e-01
  8    11 -6.29694e+01 5.28416e-01 9.27960e-01
  9    13 -6.92437e+01 4.62549e-01 8.52673e-01
 10    16 -6.72316e+01 3.73411e-01 7.52626e-01
 11    20 -6.82868e+01 2.68585e-01 6.26120e-01
 12    24 -7.35871e+01 1.88334e-01 5.12135e-01
 13    29 -7.14432e+01 1.27427e-01 3.97792e-01
 14    35 -7.54177e+01 7.96497e-02 2.81226e-01
 15    42 -6.79760e+01 7.11957e-02 2.43693e-01
 16    51 -7.37525e+01 8.06432e-02 1.82038e-01
 17    62 -7.22109e+01 5.48250e-02 1.14427e-01
 18    75 -7.12145e+01 2.02831e-02 6.29497e-02
 19    91 -7.29220e+01 1.57345e-02 5.42851e-02
 20   109 -7.50305e+01 1.17411e-02 6.10005e-02
 21   132 -7.84738e+01 7.94761e-03 4.28105e-02
 22   159 -7.41488e+01 1.11646e-02 5.27214e-02
 23   193 -7.08218e+01 8.84665e-03 5.15267e-02
 24   232 -7.14442e+01 9.43604e-03 5.43096e-02
 25   281 -7.44025e+01 1.26646e-02 6.68055e-02
 26   339 -7.72994e+01 8.48633e-03 4.98855e-02
 27   409 -7.37997e+01 9.19878e-03 5.20015e-02
 28   494 -7.15938e+01 1.05354e-02 5.88434e-02
 29   596 -7.22478e+01 1.14547e-02 5.82635e-02
 30   719 -7.32809e+01 8.86316e-03 4.64154e-02
 31   868 -7.70080e+01 9.61369e-03 5.52030e-02
 32  1048 -7.22813e+01 6.87133e-03 4.44131e-02
 33  1264 -7.09640e+01 5.41167e-03 3.21670e-02
 34  1526 -7.21640e+01 3.38084e-03 2.82312e-02
 35  1842 -7.26864e+01 3.10793e-03 2.78453e-02
 36  2222 -7.23372e+01 2.53474e-03 2.64710e-02
 37  2682 -6.96330e+01 2.42831e-03 2.60778e-02
 38  3237 -7.40731e+01 2.40098e-03 2.59762e-02
 39  3906 -7.26401e+01 2.39679e-03 2.59634e-02
 40  4714 -7.58815e+01 2.39415e-03 2.59541e-02
 41  5689 -7.44452e+01 2.39189e-03 2.59473e-02
 42  6866 -7.53203e+01 2.39037e-03 2.59537e-02
 43  8286 -7.55594e+01 2.38837e-03 2.59479e-02
 44 10000 -7.38428e+01 2.38930e-03 2.59465e-02
