i, epoch, loss, l2_err, h1_err
  0     1 -9.70456e+00 8.59217e-01 8.73325e-01
  1     2 -1.86404e+01 7.92498e-01 8.29452e-01
  2     3 -2.57696e+01 7.28156e-01 7.98049e-01
  3     4 -3.18509e+01 6.69161e-01 7.74525e-01
  4     5 -3.81568e+01 6.15975e-01 7.59363e-01
  5     6 -4.60626e+01 5.69898e-01 7.48472e-01
  6     7 -4.90026e+01 5.30932e-01 7.38835e-01
  7     9 -5.68933e+01 4.71022e-01 7.09244e-01
  8    11 -6.38584e+01 4.27680e-01 6.66138e-01
  9    13 -6.98549e+01 3.93846e-01 6.20044e-01
 10    16 -6.71198e+01 3.47532e-01 5.64656e-01
 11    20 -6.80060e+01 2.72660e-01 4.82733e-01
 12    24 -7.28430e+01 1.84337e-01 3.43139e-01
 13    29 -7.21230e+01 1.33113e-01 1.89567e-01
 14    35 -7.55110e+01 1.96541e-01 2.83598e-01
 15    42 -6.84750e+01 1.66135e-01 2.79854e-01
 16    51 -7.36912e+01 3.96147e-02 1.23425e-01
 17    62 -7.23444e+01 7.07782e-02 1.38921e-01
 18    75 -7.14040e+01 2.83792e-02 1.14247e-01
 19    91 -7.26504e+01 2.88884e-02 1.10812e-01
 20   109 -7.47610e+01 2.82961e-02 1.09887e-01
 21   132 -7.82807e+01 2.75181e-02 1.10534e-01
 22   159 -7.44652e+01 2.79472e-02 1.11044e-01
 23   193 -7.08101e+01 2.77657e-02 1.10365e-01
 24   232 -7.15687e+01 2.81873e-02 1.10330e-01
 25   281 -7.44604e+01 2.85835e-02 1.11249e-01
 26   339 -7.73786e+01 2.98611e-02 1.11592e-01
 27   409 -7.36960e+01 2.87463e-02 1.11350e-01
 28   494 -7.18932e+01 2.97651e-02 1.10617e-01
 29   596 -7.23994e+01 2.74263e-02 1.10438e-01
 30   719 -7.34914e+01 2.74944e-02 1.10694e-01
 31   868 -7.69969e+01 2.82751e-02 1.10443e-01
 32  1048 -7.23943e+01 2.82454e-02 1.10174e-01
 33  1264 -7.13245e+01 2.75137e-02 1.09765e-01
 34  1526 -7.21118e+01 2.77995e-02 1.10268e-01
 35  1842 -7.27129e+01 2.82311e-02 1.10253e-01
 36  2222 -7.25636e+01 2.78051e-02 1.10108e-01
 37  2682 -6.95025e+01 2.78656e-02 1.10124e-01
 38  3237 -7.42546e+01 2.78227e-02 1.10081e-01
 39  3906 -7.30438e+01 2.78117e-02 1.10080e-01
 40  4714 -7.58071e+01 2.78037e-02 1.10076e-01
 41  5689 -7.49666e+01 2.78033e-02 1.10078e-01
 42  6866 -7.51901e+01 2.78041e-02 1.10070e-01
 43  8286 -7.54500e+01 2.78116e-02 1.10066e-01
 44 10000 -7.38939e+01 2.78046e-02 1.10064e-01
