i, epoch, loss, l2_err, h1_err
  0     1 -1.02778e+01 9.43145e-01 1.21779e+00
  1     2 -1.92393e+01 9.19945e-01 1.31528e+00
  2     3 -2.62233e+01 8.95309e-01 1.37721e+00
  3     4 -3.16082e+01 8.70212e-01 1.41383e+00
  4     5 -3.78317e+01 8.44375e-01 1.43089e+00
  5     6 -4.49994e+01 8.18360e-01 1.43511e+00
  6     7 -4.75917e+01 7.91857e-01 1.42914e+00
  7     9 -5.48054e+01 7.39389e-01 1.39390e+00
  8    11 -6.14533e+01 6.87654e-01 1.33109e+00
  9    13 -6.76774e+01 6.35155e-01 1.25412e+00
 10    16 -6.59698e+01 5.53946e-01 1.12442e+00
 11    20 -6.79102e+01 4.45891e-01 9.51455e-01
 12    24 -7.25287e+01 3.45165e-01 8.23191e-01
 13    29 -7.14491e+01 2.36180e-01 6.51072e-01
 14    35 -7.66944e+01 1.45257e-01 5.05273e-01
 15    42 -6.92481e+01 7.95296e-02 3.37938e-01
 16    51 -7.38593e+01 3.91833e-02 1.80704e-01
 17    62 -7.17039e+01 4.74730e-02 1.66004e-01
 18    75 -7.11175e+01 3.73538e-02 1.02340e-01
 19    91 -7.30146e+01 1.11871e-02 7.68033e-02
 20   109 -7.48917e+01 1.07533e-02 7.91233e-02
 21   132 -7.79858e+01 7.94413e-03 6.64763e-02
 22   159 -7.49665e+01 1.15700e-02 9.43402e-02
 23   193 -7.12721e+01 1.09187e-02 8.48835e-02
 24   232 -7.15082e+01 1.11946e-02 8.54776e-02
 25   281 -7.46044e+01 1.23681e-02 9.50770e-02
 26   339 -7.72618e+01 1.26929e-02 1.02151e-01
 27   409 -7.34059e+01 1.14270e-02 9.44792e-02
 28   494 -7.22607e+01 1.17474e-02 9.53585e-02
 29   596 -7.17965e+01 1.21025e-02 9.72050e-02
 30   719 -7.36779e+01 7.90649e-03 6.36748e-02
 31   868 -7.73681e+01 1.05485e-02 8.60861e-02
 32  1048 -7.22105e+01 6.49482e-03 4.87848e-02
 33  1264 -7.12158e+01 4.38003e-03 3.59140e-02
 34  1526 -7.20826e+01 3.77996e-03 3.19555e-02
 35  1842 -7.25567e+01 2.04543e-03 1.88088e-02
 36  2222 -7.25098e+01 1.27837e-03 1.41387e-02
 37  2682 -6.95327e+01 8.35988e-04 1.26672e-02
 38  3237 -7.41591e+01 7.12938e-04 1.21678e-02
 39  3906 -7.32828e+01 6.88542e-04 1.20272e-02
 40  4714 -7.61808e+01 6.78593e-04 1.19781e-02
 41  5689 -7.47798e+01 6.68443e-04 1.19308e-02
 42  6866 -7.53605e+01 6.61663e-04 1.19168e-02
 43  8286 -7.59901e+01 6.53311e-04 1.18777e-02
 44 10000 -7.36581e+01 6.47377e-04 1.18487e-02
