i, epoch, loss, l2_err, h1_err
  0     1 -9.48168e+00 8.95232e-01 9.38716e-01
  1     2 -1.86163e+01 8.40758e-01 9.39142e-01
  2     3 -2.50494e+01 7.88080e-01 9.44050e-01
  3     4 -3.20851e+01 7.37115e-01 9.39197e-01
  4     5 -3.83900e+01 6.87805e-01 9.22410e-01
  5     6 -4.36489e+01 6.39291e-01 8.97584e-01
  6     7 -5.05477e+01 5.91948e-01 8.67190e-01
  7     9 -5.74528e+01 5.02115e-01 7.99315e-01
  8    11 -6.50580e+01 4.20904e-01 7.31073e-01
  9    13 -6.59063e+01 3.54256e-01 6.72874e-01
 10    16 -7.09019e+01 2.80834e-01 5.85080e-01
 11    20 -7.39661e+01 2.19624e-01 4.50328e-01
 12    24 -7.10614e+01 1.77257e-01 3.69166e-01
 13    29 -7.20861e+01 1.31300e-01 3.20154e-01
 14    35 -7.22576e+01 1.04636e-01 2.46917e-01
 15    42 -7.75893e+01 1.15166e-01 2.04159e-01
 16    51 -7.31676e+01 8.37698e-02 1.64380e-01
 17    62 -7.26079e+01 2.35073e-02 6.81325e-02
 18    75 -7.80222e+01 3.42254e-02 8.05958e-02
 19    91 -7.39639e+01 1.24830e-02 5.36348e-02
 20   109 -7.37497e+01 1.08457e-02 5.52924e-02
 21   132 -6.91349e+01 1.12131e-02 5.48787e-02
 22   159 -7.42601e+01 8.79966e-03 5.11589e-02
 23   193 -7.59074e+01 7.39518e-03 5.11610e-02
 24   232 -7.42163e+01 8.48811e-03 5.20088e-02
 25   281 -7.30942e+01 1.00900e-02 5.24321e-02
 26   339 -7.25497e+01 7.45564e-03 4.98493e-02
 27   409 -7.05750e+01 7.90870e-03 4.90107e-02
 28   494 -7.37350e+01 8.89426e-03 5.04886e-02
 29   596 -7.58438e+01 8.36598e-03 4.96490e-02
 30   719 -7.26549e+01 7.92276e-03 4.88733e-02
 31   868 -7.09220e+01 7.16406e-03 4.77808e-02
 32  1048 -7.16954e+01 6.99914e-03 4.75220e-02
 33  1264 -7.01253e+01 6.68831e-03 4.72243e-02
 34  1526 -7.23600e+01 6.74246e-03 4.71147e-02
 35  1842 -7.57384e+01 6.65708e-03 4.69130e-02
 36  2222 -7.39419e+01 6.51380e-03 4.65717e-02
 37  2682 -7.14058e+01 6.51256e-03 4.65899e-02
 38  3237 -7.32486e+01 6.50988e-03 4.66329e-02
 39  3906 -7.38951e+01 6.50871e-03 4.66311e-02
 40  4714 -7.50165e+01 6.50748e-03 4.66333e-02
 41  5689 -7.66478e+01 6.50292e-03 4.66282e-02
 42  6866 -7.34900e+01 6.50039e-03 4.66270e-02
 43  8286 -7.53452e+01 6.49693e-03 4.66322e-02
 44 10000 -7.24738e+01 6.49226e-03 4.66296e-02
