i, epoch, loss, l2_err, h1_err
  0     1 -9.80100e+00 8.93989e-01 9.32877e-01
  1     2 -1.88454e+01 8.38786e-01 9.34444e-01
  2     3 -2.59400e+01 7.85843e-01 9.41014e-01
  3     4 -3.18821e+01 7.34067e-01 9.38809e-01
  4     5 -3.81679e+01 6.84440e-01 9.24176e-01
  5     6 -4.56252e+01 6.36649e-01 8.98089e-01
  6     7 -4.86141e+01 5.90545e-01 8.65764e-01
  7     9 -5.62746e+01 5.02903e-01 7.98072e-01
  8    11 -6.36645e+01 4.23519e-01 7.37996e-01
  9    13 -6.95770e+01 3.57495e-01 6.84370e-01
 10    16 -6.72821e+01 2.87458e-01 5.93670e-01
 11    20 -6.87497e+01 2.26141e-01 4.42400e-01
 12    24 -7.35303e+01 1.71632e-01 3.58697e-01
 13    29 -7.15026e+01 1.25802e-01 3.09266e-01
 14    35 -7.55811e+01 1.05738e-01 2.50125e-01
 15    42 -6.87890e+01 1.18086e-01 2.09274e-01
 16    51 -7.37516e+01 8.68975e-02 1.65075e-01
 17    62 -7.25521e+01 2.33716e-02 7.84019e-02
 18    75 -7.13200e+01 3.46790e-02 7.97245e-02
 19    91 -7.29916e+01 1.22449e-02 5.88903e-02
 20   109 -7.50454e+01 1.04643e-02 5.63823e-02
 21   132 -7.84023e+01 1.13046e-02 5.71934e-02
 22   159 -7.43009e+01 1.15298e-02 5.64623e-02
 23   193 -7.09719e+01 8.31325e-03 5.01522e-02
 24   232 -7.17800e+01 8.99239e-03 5.25659e-02
 25   281 -7.44155e+01 1.26641e-02 6.12989e-02
 26   339 -7.72567e+01 1.02802e-02 5.60456e-02
 27   409 -7.37560e+01 9.58122e-03 5.45267e-02
 28   494 -7.18238e+01 1.04662e-02 5.34522e-02
 29   596 -7.22463e+01 1.05753e-02 5.51016e-02
 30   719 -7.35511e+01 1.04844e-02 5.66921e-02
 31   868 -7.68928e+01 8.42201e-03 5.15901e-02
 32  1048 -7.24856e+01 7.53982e-03 4.87406e-02
 33  1264 -7.10257e+01 8.54145e-03 4.83723e-02
 34  1526 -7.21927e+01 6.69825e-03 4.68748e-02
 35  1842 -7.28325e+01 6.68313e-03 4.70540e-02
 36  2222 -7.26419e+01 6.51573e-03 4.67403e-02
 37  2682 -6.98405e+01 6.50757e-03 4.66693e-02
 38  3237 -7.43399e+01 6.49306e-03 4.66275e-02
 39  3906 -7.32933e+01 6.49040e-03 4.66251e-02
 40  4714 -7.58066e+01 6.48989e-03 4.66249e-02
 41  5689 -7.49790e+01 6.48987e-03 4.66276e-02
 42  6866 -7.53181e+01 6.49055e-03 4.66317e-02
 43  8286 -7.55051e+01 6.48834e-03 4.66270e-02
 44 10000 -7.41727e+01 6.49153e-03 4.66337e-02
