i, epoch, loss, l2_err, h1_err
  0     1 -9.86926e+00 8.95778e-01 9.40028e-01
  1     2 -1.84266e+01 8.40865e-01 9.42174e-01
  2     3 -2.65417e+01 7.87498e-01 9.47329e-01
  3     4 -3.33953e+01 7.36186e-01 9.42886e-01
  4     5 -4.00042e+01 6.86519e-01 9.24907e-01
  5     6 -4.47039e+01 6.39764e-01 8.97587e-01
  6     7 -4.71831e+01 5.95001e-01 8.66775e-01
  7     9 -5.64933e+01 5.08840e-01 8.03504e-01
  8    11 -6.43302e+01 4.29517e-01 7.41631e-01
  9    13 -6.66698e+01 3.61075e-01 6.85294e-01
 10    16 -7.09337e+01 2.85392e-01 5.95548e-01
 11    20 -7.17442e+01 2.22554e-01 4.51855e-01
 12    24 -7.40432e+01 1.76938e-01 3.74443e-01
 13    29 -7.15751e+01 1.28382e-01 3.16382e-01
 14    35 -7.19094e+01 1.05142e-01 2.53625e-01
 15    42 -7.32480e+01 1.11051e-01 2.00520e-01
 16    51 -7.39526e+01 8.41152e-02 1.68768e-01
 17    62 -7.06347e+01 2.14844e-02 7.15334e-02
 18    75 -7.42339e+01 3.08430e-02 7.85328e-02
 19    91 -7.19274e+01 1.05468e-02 5.62548e-02
 20   109 -7.22883e+01 1.14500e-02 5.62981e-02
 21   132 -7.51615e+01 1.39585e-02 6.40335e-02
 22   159 -7.29929e+01 1.04761e-02 5.69814e-02
 23   193 -7.46365e+01 1.11508e-02 5.64337e-02
 24   232 -7.06191e+01 1.02921e-02 5.35195e-02
 25   281 -7.12292e+01 9.94948e-03 5.11194e-02
 26   339 -7.23220e+01 1.24235e-02 6.16536e-02
 27   409 -7.03659e+01 8.26506e-03 5.15485e-02
 28   494 -7.29415e+01 9.13878e-03 5.15576e-02
 29   596 -7.26793e+01 7.55198e-03 4.89388e-02
 30   719 -7.40522e+01 8.15639e-03 5.12097e-02
 31   868 -7.03145e+01 8.14857e-03 4.97603e-02
 32  1048 -7.44251e+01 6.85021e-03 4.79667e-02
 33  1264 -7.11815e+01 8.07048e-03 4.98832e-02
 34  1526 -7.34195e+01 7.14138e-03 4.76290e-02
 35  1842 -7.41008e+01 6.66855e-03 4.69685e-02
 36  2222 -6.97883e+01 6.50744e-03 4.65757e-02
 37  2682 -7.35579e+01 6.49641e-03 4.66394e-02
 38  3237 -7.40827e+01 6.48413e-03 4.66549e-02
 39  3906 -7.10202e+01 6.48910e-03 4.66269e-02
 40  4714 -7.08380e+01 6.48836e-03 4.66280e-02
 41  5689 -7.39363e+01 6.48875e-03 4.66362e-02
 42  6866 -7.00615e+01 6.49304e-03 4.66485e-02
 43  8286 -7.60434e+01 6.49621e-03 4.66573e-02
 44 10000 -7.40786e+01 6.49407e-03 4.66473e-02
