n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	359.24	59.57
2	16	16	10000	357.86	83.29
4	36	36	10000	360.80	153.36
6	64	64	10000	361.20	248.11
8	100	100	10000	364.58	371.76
10	144	144	10000	363.97	587.05
12	196	196	10000	364.59	788.36
14	256	256	10000	364.06	1023.76
16	324	324	10000	368.00	1221.09
18	400	400	10000	374.90	1440.35
20	484	484	10000	382.86	1736.71
