n_per_dim	n_centers	num_params	epochs	time_train_s	peak_mem_mb
1	9	9	10000	421.65	59.70
2	16	16	10000	377.37	81.57
4	36	36	10000	379.72	147.51
6	64	64	10000	380.81	245.39
8	100	100	10000	383.62	366.05
10	144	144	10000	383.41	593.91
12	196	196	10000	383.89	797.71
14	256	256	10000	383.41	1035.96
16	324	324	10000	386.08	1236.54
18	400	400	10000	388.39	1459.42
20	484	484	10000	397.65	1759.79
