i, epoch, loss, l2_err, h1_err
  0     1 -9.54018e+00 9.16041e-01 1.04651e+00
  1     2 -1.83804e+01 8.81502e-01 1.06149e+00
  2     3 -2.57854e+01 8.47866e-01 1.06932e+00
  3     4 -3.22144e+01 8.13655e-01 1.06620e+00
  4     5 -3.80505e+01 7.78586e-01 1.05410e+00
  5     6 -4.38604e+01 7.42793e-01 1.03887e+00
  6     7 -5.02963e+01 7.05989e-01 1.01780e+00
  7     9 -5.41274e+01 6.30150e-01 9.58646e-01
  8    11 -6.22503e+01 5.51769e-01 8.84130e-01
  9    13 -6.65321e+01 4.72339e-01 7.97623e-01
 10    16 -6.88414e+01 3.56487e-01 6.65816e-01
 11    20 -6.96965e+01 2.19646e-01 5.21981e-01
 12    24 -7.14148e+01 1.29746e-01 4.35595e-01
 13    29 -7.21602e+01 1.19002e-01 3.82490e-01
 14    35 -7.05015e+01 1.35671e-01 3.67817e-01
 15    42 -7.20810e+01 1.05076e-01 2.68072e-01
 16    51 -7.19075e+01 5.76502e-02 2.18193e-01
 17    62 -7.54942e+01 3.16014e-02 1.64975e-01
 18    75 -7.49560e+01 1.68738e-02 1.53074e-01
 19    91 -7.22726e+01 1.54184e-02 1.42695e-01
 20   109 -7.57510e+01 1.07792e-02 1.44896e-01
 21   132 -6.93077e+01 1.12295e-02 1.48498e-01
 22   159 -7.21267e+01 1.12587e-02 1.43845e-01
 23   193 -7.42980e+01 1.21628e-02 1.54231e-01
 24   232 -7.49355e+01 1.15903e-02 1.45445e-01
 25   281 -7.31754e+01 1.32731e-02 1.72239e-01
 26   339 -7.61889e+01 1.29058e-02 1.59952e-01
 27   409 -7.30661e+01 1.28296e-02 1.58657e-01
 28   494 -6.97896e+01 8.96946e-03 1.15192e-01
 29   596 -7.50328e+01 8.32217e-03 1.12917e-01
 30   719 -7.65795e+01 6.20049e-03 8.95420e-02
 31   868 -7.04172e+01 6.24135e-03 8.83265e-02
 32  1048 -7.29512e+01 5.11765e-03 7.84462e-02
 33  1264 -7.34123e+01 3.53920e-03 6.62865e-02
 34  1526 -7.03902e+01 2.16697e-03 5.86814e-02
 35  1842 -7.27082e+01 1.98174e-03 5.78659e-02
 36  2222 -7.01655e+01 1.64351e-03 5.65038e-02
 37  2682 -7.30582e+01 1.54394e-03 5.58964e-02
 38  3237 -6.99957e+01 1.51427e-03 5.57340e-02
 39  3906 -7.59664e+01 1.51005e-03 5.57292e-02
 40  4714 -7.49636e+01 1.50678e-03 5.57181e-02
 41  5689 -7.40938e+01 1.50274e-03 5.57081e-02
 42  6866 -7.67084e+01 1.49955e-03 5.57071e-02
 43  8286 -7.47446e+01 1.49642e-03 5.56957e-02
 44 10000 -7.57207e+01 1.49112e-03 5.56644e-02
