i, epoch, loss, l2_err, h1_err
  0     1 -9.33284e+00 9.14734e-01 9.62459e-01
  1     2 -1.87888e+01 8.68529e-01 9.53222e-01
  2     3 -2.57489e+01 8.20064e-01 9.36966e-01
  3     4 -3.25817e+01 7.68959e-01 9.08989e-01
  4     5 -3.92606e+01 7.16926e-01 8.73691e-01
  5     6 -4.31853e+01 6.65030e-01 8.34809e-01
  6     7 -4.81301e+01 6.13988e-01 7.93443e-01
  7     9 -5.58536e+01 5.16419e-01 7.15082e-01
  8    11 -6.07055e+01 4.26848e-01 6.48270e-01
  9    13 -6.64378e+01 3.43767e-01 5.87306e-01
 10    16 -6.95915e+01 2.29416e-01 4.92983e-01
 11    20 -6.91616e+01 1.15276e-01 4.12200e-01
 12    24 -7.22322e+01 1.06608e-01 3.70389e-01
 13    29 -7.01907e+01 1.34462e-01 2.93281e-01
 14    35 -7.32365e+01 1.19705e-01 2.77096e-01
 15    42 -7.37962e+01 7.88908e-02 2.33320e-01
 16    51 -7.66994e+01 3.15824e-02 1.61116e-01
 17    62 -7.39464e+01 2.44418e-02 1.36661e-01
 18    75 -7.41430e+01 1.70262e-02 1.21604e-01
 19    91 -7.75293e+01 1.20034e-02 1.13496e-01
 20   109 -7.50033e+01 1.25263e-02 1.20191e-01
 21   132 -7.19559e+01 1.31696e-02 1.16898e-01
 22   159 -7.73235e+01 9.63925e-03 1.10339e-01
 23   193 -7.17003e+01 1.03800e-02 1.09825e-01
 24   232 -7.43901e+01 1.06617e-02 1.10893e-01
 25   281 -7.43523e+01 1.03246e-02 1.09727e-01
 26   339 -7.43792e+01 9.61564e-03 1.04983e-01
 27   409 -7.65495e+01 1.01358e-02 1.10039e-01
 28   494 -7.53682e+01 9.54350e-03 1.08240e-01
 29   596 -6.93848e+01 7.57219e-03 1.01904e-01
 30   719 -7.11315e+01 8.48373e-03 1.01337e-01
 31   868 -7.29458e+01 7.22532e-03 9.84910e-02
 32  1048 -7.40770e+01 6.88989e-03 9.68847e-02
 33  1264 -7.65245e+01 6.74415e-03 9.69642e-02
 34  1526 -7.61417e+01 5.93598e-03 9.50001e-02
 35  1842 -7.16913e+01 5.85018e-03 9.50292e-02
 36  2222 -7.50849e+01 5.93204e-03 9.50211e-02
 37  2682 -7.28803e+01 5.86689e-03 9.49479e-02
 38  3237 -7.39015e+01 5.85986e-03 9.49165e-02
 39  3906 -7.18550e+01 5.85425e-03 9.49039e-02
 40  4714 -7.38173e+01 5.85100e-03 9.48991e-02
 41  5689 -7.07538e+01 5.84756e-03 9.48924e-02
 42  6866 -7.16323e+01 5.83961e-03 9.48761e-02
 43  8286 -7.20221e+01 5.83397e-03 9.48678e-02
 44 10000 -7.45834e+01 5.82792e-03 9.48578e-02
