i, epoch, loss, l2_err, h1_err
  0     1 -9.36115e+00 9.14989e-01 1.06557e+00
  1     2 -1.81695e+01 8.81918e-01 1.08491e+00
  2     3 -2.52260e+01 8.49562e-01 1.09557e+00
  3     4 -3.24982e+01 8.18163e-01 1.09324e+00
  4     5 -3.85517e+01 7.85997e-01 1.08133e+00
  5     6 -4.36585e+01 7.53028e-01 1.06496e+00
  6     7 -4.76478e+01 7.19047e-01 1.04736e+00
  7     9 -5.51143e+01 6.48693e-01 1.00186e+00
  8    11 -6.08435e+01 5.75271e-01 9.38774e-01
  9    13 -6.64033e+01 4.99910e-01 8.58471e-01
 10    16 -6.92202e+01 3.88944e-01 7.21921e-01
 11    20 -7.09181e+01 2.57373e-01 5.63676e-01
 12    24 -7.58052e+01 1.62119e-01 4.69673e-01
 13    29 -7.31595e+01 1.20699e-01 4.06062e-01
 14    35 -6.97986e+01 1.31732e-01 3.74156e-01
 15    42 -7.15979e+01 1.08408e-01 2.93348e-01
 16    51 -6.85979e+01 5.71427e-02 2.32944e-01
 17    62 -7.63443e+01 3.89070e-02 1.90765e-01
 18    75 -7.25657e+01 1.84560e-02 1.68404e-01
 19    91 -7.07661e+01 1.49053e-02 1.69690e-01
 20   109 -7.13893e+01 1.09579e-02 1.68872e-01
 21   132 -7.17799e+01 1.27490e-02 1.75826e-01
 22   159 -7.17901e+01 1.22820e-02 1.75266e-01
 23   193 -7.33845e+01 1.22807e-02 1.68934e-01
 24   232 -7.58515e+01 1.26562e-02 1.77694e-01
 25   281 -7.04194e+01 1.21747e-02 1.74443e-01
 26   339 -7.22583e+01 9.41088e-03 1.24327e-01
 27   409 -7.73778e+01 8.76911e-03 1.28632e-01
 28   494 -7.24264e+01 9.25956e-03 1.21292e-01
 29   596 -7.49602e+01 6.71663e-03 9.82701e-02
 30   719 -7.26934e+01 6.80407e-03 1.01748e-01
 31   868 -7.45039e+01 4.61212e-03 7.74870e-02
 32  1048 -7.40480e+01 4.53077e-03 8.13496e-02
 33  1264 -7.30751e+01 3.81133e-03 7.08421e-02
 34  1526 -7.16773e+01 2.98045e-03 6.18207e-02
 35  1842 -7.20704e+01 2.06774e-03 5.59873e-02
 36  2222 -7.23392e+01 1.63766e-03 5.27646e-02
 37  2682 -7.60795e+01 1.46563e-03 5.18021e-02
 38  3237 -7.46852e+01 1.40491e-03 5.13443e-02
 39  3906 -7.71122e+01 1.39263e-03 5.12928e-02
 40  4714 -7.51388e+01 1.38660e-03 5.12621e-02
 41  5689 -7.14011e+01 1.38126e-03 5.12432e-02
 42  6866 -7.25012e+01 1.37528e-03 5.12287e-02
 43  8286 -7.19944e+01 1.36946e-03 5.12191e-02
 44 10000 -7.21184e+01 1.36383e-03 5.12179e-02
