i, epoch, loss, l2_err, h1_err
  0     1 -1.26282e+01 9.60799e-01 1.80110e+00
  1     2 -2.28283e+01 9.46107e-01 2.11584e+00
  2     3 -3.00965e+01 9.32379e-01 2.37232e+00
  3     4 -3.60839e+01 9.18528e-01 2.52797e+00
  4     5 -4.01768e+01 9.04254e-01 2.60346e+00
  5     6 -4.48230e+01 8.90293e-01 2.63232e+00
  6     7 -5.07948e+01 8.76657e-01 2.62972e+00
  7     9 -5.21886e+01 8.51170e-01 2.56932e+00
  8    11 -5.91266e+01 8.27273e-01 2.46204e+00
  9    13 -6.26406e+01 8.04349e-01 2.34319e+00
 10    16 -6.41947e+01 7.70041e-01 2.13649e+00
 11    20 -6.52524e+01 7.27323e-01 1.87962e+00
 12    24 -6.83906e+01 6.83945e-01 1.67598e+00
 13    29 -7.02582e+01 6.19788e-01 1.47533e+00
 14    35 -6.94475e+01 5.35974e-01 1.29447e+00
 15    42 -7.13000e+01 4.35481e-01 1.02304e+00
 16    51 -7.14133e+01 3.21384e-01 6.97803e-01
 17    62 -7.53143e+01 2.14050e-01 4.01378e-01
 18    75 -7.48952e+01 1.28951e-01 2.47395e-01
 19    91 -7.22717e+01 5.99676e-02 1.44917e-01
 20   109 -7.57447e+01 1.98954e-02 1.37234e-01
 21   132 -6.93067e+01 1.14619e-02 1.46423e-01
 22   159 -7.21266e+01 1.08645e-02 1.37407e-01
 23   193 -7.42897e+01 1.22377e-02 1.56179e-01
 24   232 -7.49270e+01 1.14780e-02 1.46157e-01
 25   281 -7.31684e+01 1.14909e-02 1.55545e-01
 26   339 -7.61886e+01 1.27337e-02 1.62899e-01
 27   409 -7.30568e+01 1.23629e-02 1.60897e-01
 28   494 -6.97857e+01 8.90196e-03 1.11098e-01
 29   596 -7.50291e+01 8.17892e-03 1.05366e-01
 30   719 -7.65749e+01 6.31215e-03 8.15793e-02
 31   868 -7.04135e+01 6.17332e-03 7.44267e-02
 32  1048 -7.29473e+01 4.90701e-03 6.49351e-02
 33  1264 -7.34100e+01 3.32972e-03 4.25036e-02
 34  1526 -7.03862e+01 1.75952e-03 2.46594e-02
 35  1842 -7.27076e+01 1.48789e-03 2.13481e-02
 36  2222 -7.01641e+01 8.18272e-04 1.36922e-02
 37  2682 -7.30574e+01 5.79967e-04 1.11822e-02
 38  3237 -6.99954e+01 4.83262e-04 1.03193e-02
 39  3906 -7.59649e+01 4.64848e-04 1.01984e-02
 40  4714 -7.49622e+01 4.51089e-04 1.01069e-02
 41  5689 -7.40934e+01 4.37637e-04 1.00192e-02
 42  6866 -7.67075e+01 4.25483e-04 9.94766e-03
 43  8286 -7.47437e+01 4.12928e-04 9.83469e-03
 44 10000 -7.57186e+01 3.96234e-04 9.71149e-03
