i, epoch, loss, l2_err, h1_err
  0     1 -9.68503e+00 8.55107e-01 8.72395e-01
  1     2 -1.77635e+01 7.85630e-01 8.17030e-01
  2     3 -2.55438e+01 7.18929e-01 7.67364e-01
  3     4 -3.37066e+01 6.55393e-01 7.22866e-01
  4     5 -3.91293e+01 5.95477e-01 6.82770e-01
  5     6 -4.58666e+01 5.39596e-01 6.47547e-01
  6     7 -4.93367e+01 4.87988e-01 6.18114e-01
  7     9 -5.81771e+01 3.98393e-01 5.75377e-01
  8    11 -6.08808e+01 3.27652e-01 5.46886e-01
  9    13 -6.31347e+01 2.72378e-01 5.22208e-01
 10    16 -6.95963e+01 2.12334e-01 4.78900e-01
 11    20 -7.31907e+01 1.68114e-01 4.18351e-01
 12    24 -7.25011e+01 1.56905e-01 3.92272e-01
 13    29 -7.21840e+01 1.57004e-01 4.07386e-01
 14    35 -7.09042e+01 1.41310e-01 3.95253e-01
 15    42 -7.12862e+01 1.22258e-01 3.61296e-01
 16    51 -7.18717e+01 1.26608e-01 3.58326e-01
 17    62 -7.09821e+01 1.18130e-01 3.53270e-01
 18    75 -7.26556e+01 1.14368e-01 3.57245e-01
 19    91 -7.44499e+01 1.11534e-01 3.54551e-01
 20   109 -7.28096e+01 1.13725e-01 3.54959e-01
 21   132 -7.25169e+01 1.12244e-01 3.54502e-01
 22   159 -7.34921e+01 1.11628e-01 3.54736e-01
 23   193 -7.05030e+01 1.13263e-01 3.54690e-01
 24   232 -7.14801e+01 1.11569e-01 3.55047e-01
 25   281 -7.27666e+01 1.13074e-01 3.54968e-01
 26   339 -7.37534e+01 1.13875e-01 3.55334e-01
 27   409 -7.12974e+01 1.13152e-01 3.54850e-01
 28   494 -7.25166e+01 1.11596e-01 3.54937e-01
 29   596 -6.94035e+01 1.12212e-01 3.54559e-01
 30   719 -6.84101e+01 1.12448e-01 3.54762e-01
 31   868 -7.14757e+01 1.12425e-01 3.54527e-01
 32  1048 -7.28949e+01 1.12826e-01 3.54752e-01
 33  1264 -7.57738e+01 1.12759e-01 3.54777e-01
 34  1526 -7.45106e+01 1.13285e-01 3.54870e-01
 35  1842 -6.78094e+01 1.12999e-01 3.54840e-01
 36  2222 -7.66082e+01 1.12668e-01 3.54779e-01
 37  2682 -7.54850e+01 1.12834e-01 3.54811e-01
 38  3237 -7.47271e+01 1.12797e-01 3.54803e-01
 39  3906 -7.09624e+01 1.12794e-01 3.54800e-01
 40  4714 -7.72259e+01 1.12787e-01 3.54794e-01
 41  5689 -7.79560e+01 1.12804e-01 3.54794e-01
 42  6866 -7.18683e+01 1.12800e-01 3.54785e-01
 43  8286 -7.26688e+01 1.12777e-01 3.54787e-01
 44 10000 -7.39685e+01 1.12805e-01 3.54797e-01
